Date,Value
2023/1/1,0.0354247
2023/1/2,0.0385916
2023/1/3,0.0407497
2023/1/4,0.0445038
2023/1/5,0.0490512
2023/1/6,0.05279
2023/1/7,0.054804
2023/1/8,0.0550865
2023/1/9,0.0532688
2023/1/10,0.049777
2023/1/11,0.0448619
2023/1/12,0.0398142
2023/1/13,0.0357841
2023/1/14,0.033466
2023/1/15,0.0315324
2023/1/16,0.0292583
2023/1/17,0.0295011
2023/1/18,0.0340766
2023/1/19,0.0381287
2023/1/20,0.0409698
2023/1/21,0.0429534
2023/1/22,0.0437133
2023/1/23,0.0449941
2023/1/24,0.043684
2023/1/25,0.0409409
2023/1/26,0.0397198
2023/1/27,0.0369792
2023/1/28,0.0345153
2023/1/29,0.0336603
2023/1/30,0.0330279
2023/1/31,0.0287574
2023/2/1,0.0338293
2023/2/2,0.0401513
2023/2/3,0.0480429
2023/2/4,0.0555911
2023/2/5,0.0603367
2023/2/6,0.0630684
2023/2/7,0.0596322
2023/2/8,0.0548294
2023/2/9,0.050178
2023/2/10,0.0454658
2023/2/11,0.0397405
2023/2/12,0.0362523
2023/2/13,0.0363446
2023/2/14,0.0411043
2023/2/15,0.0452346
2023/2/16,0.0469139
2023/2/17,0.0477118
2023/2/18,0.0495644
2023/2/19,0.0489388
2023/2/20,0.0451918
2023/2/21,0.0398967
2023/2/22,0.0362787
2023/2/23,0.0349287
2023/2/24,0.0337984
2023/2/25,0.0299766
2023/2/26,0.0280333
2023/2/27,0.0273753
2023/2/28,0.0265248
2023/3/1,0.024717
2023/3/2,0.0217969
2023/3/3,0.0244046
2023/3/4,0.0263653
2023/3/5,0.029288
2023/3/6,0.0327007
2023/3/7,0.0355501
2023/3/8,0.0369064
2023/3/9,0.0370966
2023/3/10,0.0358725
2023/3/11,0.0335211
2023/3/12,0.0302112
2023/3/13,0.0268119
2023/3/14,0.0240979
2023/3/15,0.0225369
2023/3/16,0.0212347
2023/3/17,0.0197032
2023/3/18,0.0198668
2023/3/19,0.022948
2023/3/20,0.0256768
2023/3/21,0.0275901
2023/3/22,0.0289259
2023/3/23,0.0294376
2023/3/24,0.0303002
2023/3/25,0.0294179
2023/3/26,0.0275706
2023/3/27,0.0267483
2023/3/28,0.0249027
2023/3/29,0.0232435
2023/3/30,0.0226677
2023/3/31,0.0222418
2023/4/1,0.0216727
2023/4/2,0.0236812
2023/4/3,0.0265203
2023/4/4,0.0304431
2023/4/5,0.0340304
2023/4/6,0.0357185
2023/4/7,0.0373357
2023/4/8,0.0353015
2023/4/9,0.0324583
2023/4/10,0.0297047
2023/4/11,0.0269151
2023/4/12,0.0235259
2023/4/13,0.0214609
2023/4/14,0.0215155
2023/4/15,0.0243332
2023/4/16,0.0267783
2023/4/17,0.0277724
2023/4/18,0.0282448
2023/4/19,0.0293415
2023/4/20,0.0289711
2023/4/21,0.026753
2023/4/22,0.0236183
2023/4/23,0.0214765
2023/4/24,0.0206773
2023/4/25,0.0200082
2023/4/26,0.0177457
2023/4/27,0.0165953
2023/4/28,0.0162058
2023/4/29,0.0157023
2023/4/30,0.0146321
2023/5/1,0.0276574
2023/5/2,0.0277867
2023/5/3,0.0280259
2023/5/4,0.0282325
2023/5/5,0.027123
2023/5/6,0.0271387
2023/5/7,0.0269747
2023/5/8,0.0279282
2023/5/9,0.0285523
2023/5/10,0.0289134
2023/5/11,0.0293414
2023/5/12,0.0306151
2023/5/13,0.0311095
2023/5/14,0.0309511
2023/5/15,0.0302812
2023/5/16,0.0297622
2023/5/17,0.0296452
2023/5/18,0.0295903
2023/5/19,0.0294886
2023/5/20,0.0294301
2023/5/21,0.029393
2023/5/22,0.0293578
2023/5/23,0.0293365
2023/5/24,0.0291382
2023/5/25,0.0288247
2023/5/26,0.028753
2023/5/27,0.0287719
2023/5/28,0.0288746
2023/5/29,0.0287442
2023/5/30,0.0286278
2023/5/31,0.0288021
2023/6/1,0.029009
2023/6/2,0.0293701
2023/6/3,0.0295097
2023/6/4,0.0289396
2023/6/5,0.0281738
2023/6/6,0.0299759
2023/6/7,0.0303238
2023/6/8,0.03053
2023/6/9,0.0306608
2023/6/10,0.0311469
2023/6/11,0.0317228
2023/6/12,0.0322626
2023/6/13,0.032425
2023/6/14,0.0325773
2023/6/15,0.0328099
2023/6/16,0.0332711
2023/6/17,0.0332956
2023/6/18,0.0335872
2023/6/19,0.0338368
2023/6/20,0.0339664
2023/6/21,0.0339661
2023/6/22,0.0338813
2023/6/23,0.033574
2023/6/24,0.0333373
2023/6/25,0.0329005
2023/6/26,0.0322378
2023/6/27,0.0318064
2023/6/28,0.0316413
2023/6/29,0.0315794
2023/6/30,0.00674209
2023/7/1,0.00663072
2023/7/2,0.00658987
2023/7/3,0.00656213
2023/7/4,0.00650485
2023/7/5,0.00665639
2023/7/6,0.00666829
2023/7/7,0.00649428
2023/7/8,0.00643144
2023/7/9,0.00640151
2023/7/10,0.00631959
2023/7/11,0.00629258
2023/7/12,0.00619815
2023/7/13,0.0061883
2023/7/14,0.00624664
2023/7/15,0.00621245
2023/7/16,0.00621285
2023/7/17,0.00620289
2023/7/18,0.00622321
2023/7/19,0.00619578
2023/7/20,0.00616307
2023/7/21,0.00616426
2023/7/22,0.00618541
2023/7/23,0.00618118
2023/7/24,0.0062179
2023/7/25,0.00616185
2023/7/26,0.00617065
2023/7/27,0.0062513
2023/7/28,0.00615535
2023/7/29,0.00616326
2023/7/30,0.00727594
2023/7/31,0.00716532
2023/8/1,0.00706228
2023/8/2,0.00704843
2023/8/3,0.00697898
2023/8/4,0.00709002
2023/8/5,0.00712495
2023/8/6,0.00693963
2023/8/7,0.00684562
