Date,Value
2014/1/1,0.00156365
2014/1/2,0.0690909
2014/1/3,0.0576249
2014/1/4,0.179464
2014/1/5,0.342199
2014/1/6,0.00351833
2014/1/7,0.0811518
2014/1/8,0.0585649
2014/1/9,0.226902
2014/1/10,0.291203
2014/1/11,0.00173867
2014/1/12,0.0842337
2014/1/13,0.0950803
2014/1/14,0.197558
2014/1/15,0.23312
2014/1/16,0.00296299
2014/1/17,0.10385
2014/1/18,0.0885241
2014/1/19,0.203448
2014/1/20,0.236952
2014/1/21,0.000540149
2014/1/22,0.067248
2014/1/23,0.102625
2014/1/24,0.174638
2014/1/25,0.212457
2014/1/26,0.00327333
2014/1/27,0.0762294
2014/1/28,0.0923174
2014/1/29,0.177145
2014/1/30,0.14024
2014/1/31,0.00100011
2014/2/1,0.06813
2014/2/2,0.0896135
2014/2/3,0.13416
2014/2/4,0.151677
2014/2/5,0.00319363
2014/2/6,0.0847703
2014/2/7,0.0830257
2014/2/8,0.144662
2014/2/9,0.12083
2014/2/10,0.0016538
2014/2/11,0.0760438
2014/2/12,0.103389
2014/2/13,0.135964
2014/2/14,0.113537
2014/2/15,0.00319648
2014/2/16,0.0896793
2014/2/17,0.090262
2014/2/18,0.160187
2014/2/19,0.121831
2014/2/20,0.00270656
2014/2/21,0.0810691
2014/2/22,0.093145
2014/2/23,0.15227
2014/2/24,0.108222
2014/2/25,0.00376862
2014/2/26,0.0792772
2014/2/27,0.0790346
2014/2/28,0.177667
2014/3/1,0.111308
2014/3/2,0.00346763
2014/3/3,0.0872936
2014/3/4,0.0990857
2014/3/5,0.163876
2014/3/6,0.107785
2014/3/7,0.0043229
2014/3/8,0.0867208
2014/3/9,0.088699
2014/3/10,0.180983
2014/3/11,0.110757
2014/3/12,0.00199864
2014/3/13,0.075175
2014/3/14,0.108622
2014/3/15,0.152342
2014/3/16,0.115452
2014/3/17,0.00366864
2014/3/18,0.0878633
2014/3/19,0.0970616
2014/3/20,0.162106
2014/3/21,0.115509
2014/3/22,0.00288472
2014/3/23,0.0796567
2014/3/24,0.0945563
2014/3/25,0.180671
2014/3/26,0.114273
2014/3/27,0.00415806
2014/3/28,0.0827101
2014/3/29,0.086538
2014/3/30,0.166404
2014/3/31,0.126092
2014/4/1,0.00185356
2014/4/2,0.0786814
2014/4/3,0.0965005
2014/4/4,0.205951
2014/4/5,0.169196
2014/4/6,0.00346417
2014/4/7,0.0863424
2014/4/8,0.0888882
2014/4/9,0.203235
2014/4/10,0.142359
2014/4/11,0.00145792
2014/4/12,0.0677105
2014/4/13,0.0874356
2014/4/14,0.219976
2014/4/15,0.343207
2014/4/16,0.00431607
2014/4/17,0.0815655
2014/4/18,0.0938474
2014/4/19,0.247361
2014/4/20,0.29676
2014/4/21,0.00245148
2014/4/22,0.0852718
2014/4/23,0.0933973
2014/4/24,0.247572
2014/4/25,0.299651
2014/4/26,0.00240957
2014/4/27,0.0767491
2014/4/28,0.0933086
2014/4/29,0.234953
2014/4/30,0.321194
2014/5/1,0.00201294
2014/5/2,0.0708145
2014/5/3,0.0570461
2014/5/4,0.177661
2014/5/5,0.34497
2014/5/6,0.00346085
2014/5/7,0.0812701
2014/5/8,0.0604804
2014/5/9,0.234323
2014/5/10,0.32048
2014/5/11,0.00179708
2014/5/12,0.0846955
2014/5/13,0.0952947
2014/5/14,0.198003
2014/5/15,0.21763
2014/5/16,0.00296069
2014/5/17,0.0931952
2014/5/18,0.0882577
2014/5/19,0.202836
2014/5/20,0.231393
2014/5/21,0.000557164
2014/5/22,0.0671737
2014/5/23,0.100443
2014/5/24,0.170926
2014/5/25,0.200747
2014/5/26,0.0032874
2014/5/27,0.0789741
2014/5/28,0.0905309
2014/5/29,0.173717
2014/5/30,0.143385
2014/5/31,0.000867118
2014/6/1,0.0686791
2014/6/2,0.0901626
2014/6/3,0.134982
2014/6/4,0.129452
2014/6/5,0.00335351
2014/6/6,0.0824693
2014/6/7,0.0829109
2014/6/8,0.144462
2014/6/9,0.114967
2014/6/10,0.0016541
2014/6/11,0.0744167
2014/6/12,0.101136
2014/6/13,0.133001
2014/6/14,0.11262
2014/6/15,0.00338819
2014/6/16,0.0833933
2014/6/17,0.0911995
2014/6/18,0.16185
2014/6/19,0.124097
2014/6/20,0.00262184
2014/6/21,0.0813825
2014/6/22,0.0944734
2014/6/23,0.154442
2014/6/24,0.107975
2014/6/25,0.00381458
2014/6/26,0.0841904
2014/6/27,0.0798023
2014/6/28,0.179393
2014/6/29,0.112968
2014/6/30,0.00338357
2014/7/1,0.0846386
2014/7/2,0.100737
2014/7/3,0.166606
2014/7/4,0.107663
2014/7/5,0.00441167
2014/7/6,0.0860649
2014/7/7,0.0905011
2014/7/8,0.18466
2014/7/9,0.110715
2014/7/10,0.00203916
2014/7/11,0.0732758
2014/7/12,0.106466
2014/7/13,0.149319
2014/7/14,0.113939
2014/7/15,0.0036554
2014/7/16,0.0823906
2014/7/17,0.097327
2014/7/18,0.162549
2014/7/19,0.115205
2014/7/20,0.00234561
2014/7/21,0.0801171
2014/7/22,0.0952976
2014/7/23,0.182087
2014/7/24,0.114206
2014/7/25,0.00400058
2014/7/26,0.0837095
2014/7/27,0.0882212
2014/7/28,0.16964
2014/7/29,0.125428
2014/7/30,0.00180249
2014/7/31,0.078027
2014/8/1,0.0976446
2014/8/2,0.208393
2014/8/3,0.170465
2014/8/4,0.00339255
2014/8/5,0.0846738
2014/8/6,0.0885881
2014/8/7,0.202549
2014/8/8,0.142856
2014/8/9,0.00159277
2014/8/10,0.0636391
2014/8/11,0.087298
2014/8/12,0.21963
2014/8/13,0.310838
2014/8/14,0.00398475
2014/8/15,0.0778862
2014/8/16,0.094105
2014/8/17,0.24804
2014/8/18,0.281273
2014/8/19,0.0029037
2014/8/20,0.0827973
2014/8/21,0.0954386
2014/8/22,0.252983
2014/8/23,0.286539
2014/8/24,0.00232827
2014/8/25,0.0796003
2014/8/26,0.0941163
2014/8/27,0.236987
2014/8/28,0.318662
2014/8/29,0.0025569
2014/8/30,0.070857
2014/8/31,0.0572062
2014/9/1,0.17816
2014/9/2,0.33833
2014/9/3,0.0035096
2014/9/4,0.0793186
2014/9/5,0.0621465
2014/9/6,0.240778
2014/9/7,0.316941
2014/9/8,0.00170937
2014/9/9,0.0850294
2014/9/10,0.0944016
2014/9/11,0.196148
2014/9/12,0.193081
2014/9/13,0.00308525
2014/9/14,0.0850542
2014/9/15,0.0886495
2014/9/16,0.203736
2014/9/17,0.220873
2014/9/18,0.000498645
2014/9/19,0.0726812
2014/9/20,0.0993628
2014/9/21,0.169087
2014/9/22,0.166599
2014/9/23,0.00304624
2014/9/24,0.0819279
2014/9/25,0.090982
2014/9/26,0.174582
2014/9/27,0.173092
2014/9/28,0.00101106
2014/9/29,0.0685863
2014/9/30,0.0922712
2014/10/1,0.138138
2014/10/2,0.117177
2014/10/3,0.00343394
2014/10/4,0.0837673
2014/10/5,0.0884753
2014/10/6,0.154157
2014/10/7,0.117237
2014/10/8,0.00153538
2014/10/9,0.0701753
2014/10/10,0.0966529
2014/10/11,0.127105
2014/10/12,0.11351
2014/10/13,0.00310783
2014/10/14,0.0803333
2014/10/15,0.0905398
2014/10/16,0.16068
2014/10/17,0.126834
2014/10/18,0.00291647
2014/10/19,0.0809974
2014/10/20,0.0893171
2014/10/21,0.146012
2014/10/22,0.107741
2014/10/23,0.00375365
2014/10/24,0.0917239
2014/10/25,0.0810331
2014/10/26,0.182159
2014/10/27,0.117097
2014/10/28,0.00369408
2014/10/29,0.0838236
2014/10/30,0.103472
2014/10/31,0.171129
2014/11/1,0.10757
