Date,Value
2012/1/1,0.00175513
2012/1/2,0.00178861
2012/1/3,0.00184957
2012/1/4,0.00197284
2012/1/5,0.00204674
2012/1/6,0.0020365
2012/1/7,0.0019911
2012/1/8,0.00196746
2012/1/9,0.00194523
2012/1/10,0.00194156
2012/1/11,0.00185467
2012/1/12,0.00181866
2012/1/13,0.00178344
2012/1/14,0.00181263
2012/1/15,0.00189879
2012/1/16,0.00195106
2012/1/17,0.00198594
2012/1/18,0.0021261
2012/1/19,0.0022221
2012/1/20,0.00228124
2012/1/21,0.00223291
2012/1/22,0.00219239
2012/1/23,0.00214673
2012/1/24,0.0020886
2012/1/25,0.0019422
2012/1/26,0.00190137
2012/1/27,0.00189337
2012/1/28,0.00192114
2012/1/29,0.00188761
2012/1/30,0.00187441
2012/1/31,0.00180594
2012/2/1,0.00178291
2012/2/2,0.00172581
2012/2/3,0.00168036
2012/2/4,0.00162291
2012/2/5,0.00165869
2012/2/6,0.0016718
2012/2/7,0.00169533
2012/2/8,0.00166544
2012/2/9,0.00161567
2012/2/10,0.00157913
2012/2/11,0.00157943
2012/2/12,0.0015579
2012/2/13,0.0015467
2012/2/14,0.00152041
2012/2/15,0.00153799
2012/2/16,0.0015486
2012/2/17,0.0015616
2012/2/18,0.00156287
2012/2/19,0.00151839
2012/2/20,0.00150519
2012/2/21,0.00150794
2012/2/22,0.0015123
2012/2/23,0.00153804
2012/2/24,0.00149846
2012/2/25,0.00147553
2012/2/26,0.00148571
2012/2/27,0.00144036
2012/2/28,0.00140703
2012/2/29,0.00123011
2012/3/1,0.00114359
2012/3/2,0.00107076
2012/3/3,0.000993314
2012/3/4,0.000961671
2012/3/5,0.000916671
2012/3/6,0.000893971
2012/3/7,0.000869871
2012/3/8,0.000883486
2012/3/9,0.0008654
2012/3/10,0.000845071
2012/3/11,0.000844157
2012/3/12,0.000885571
2012/3/13,0.000924243
2012/3/14,0.000951414
2012/3/15,0.000975714
2012/3/16,0.000971571
2012/3/17,0.0009627
2012/3/18,0.000970514
2012/3/19,0.000959171
2012/3/20,0.000924543
2012/3/21,0.000913371
2012/3/22,0.000865371
2012/3/23,0.000833157
2012/3/24,0.0008296
2012/3/25,0.000819086
2012/3/26,0.000791614
2012/3/27,0.000776186
2012/3/28,0.000840243
2012/3/29,0.000935971
2012/3/30,0.00108156
2012/3/31,0.00118609
2012/4/1,0.00126984
2012/4/2,0.00132897
2012/4/3,0.00141946
2012/4/4,0.0014528
2012/4/5,0.00148189
2012/4/6,0.00143686
2012/4/7,0.00141324
2012/4/8,0.00138337
2012/4/9,0.0014011
2012/4/10,0.0013866
2012/4/11,0.00138699
2012/4/12,0.0013711
2012/4/13,0.00137779
2012/4/14,0.00141427
2012/4/15,0.00140513
2012/4/16,0.00138544
2012/4/17,0.00139434
2012/4/18,0.00133313
2012/4/19,0.00129373
2012/4/20,0.00132366
2012/4/21,0.00129336
2012/4/22,0.00134363
2012/4/23,0.00138387
2012/4/24,0.00136947
2012/4/25,0.00135901
2012/4/26,0.00136303
2012/4/27,0.00136146
2012/4/28,0.00133787
2012/4/29,0.0013009
2012/4/30,0.00129671
2012/5/1,0.00131917
2012/5/2,0.00139829
2012/5/3,0.00144023
2012/5/4,0.00142744
2012/5/5,0.00147391
2012/5/6,0.00148436
2012/5/7,0.00148614
2012/5/8,0.00146961
2012/5/9,0.00139699
2012/5/10,0.0013454
2012/5/11,0.00135441
2012/5/12,0.00133926
2012/5/13,0.00134754
2012/5/14,0.00136867
2012/5/15,0.00138369
2012/5/16,0.0014474
2012/5/17,0.0014913
2012/5/18,0.00151076
2012/5/19,0.0015709
2012/5/20,0.00160267
2012/5/21,0.00159299
2012/5/22,0.0017104
2012/5/23,0.00188581
2012/5/24,0.00209169
2012/5/25,0.00231474
2012/5/26,0.00251389
2012/5/27,0.00257373
2012/5/28,0.00262247
2012/5/29,0.00262506
2012/5/30,0.00262301
2012/5/31,0.00265449
2012/6/1,0.00284784
2012/6/2,0.00300064
2012/6/3,0.00305909
2012/6/4,0.00313001
2012/6/5,0.00328909
2012/6/6,0.00334244
2012/6/7,0.00333371
2012/6/8,0.00311541
2012/6/9,0.00277407
2012/6/10,0.00267386
2012/6/11,0.00264956
2012/6/12,0.00250999
2012/6/13,0.00242621
2012/6/14,0.00247557
2012/6/15,0.00258151
2012/6/16,0.00286126
2012/6/17,0.0031519
2012/6/18,0.00345767
2012/6/19,0.00380243
2012/6/20,0.00412314
2012/6/21,0.00443933
2012/6/22,0.00442786
2012/6/23,0.0043246
2012/6/24,0.00427544
2012/6/25,0.00415284
2012/6/26,0.00393784
2012/6/27,0.00375174
2012/6/28,0.00351757
2012/6/29,0.00349093
2012/6/30,0.00351279
2012/7/1,0.00356384
2012/7/2,0.00368744
2012/7/3,0.00378899
2012/7/4,0.00394243
2012/7/5,0.0041182
2012/7/6,0.00431801
2012/7/7,0.0044908
2012/7/8,0.00457426
2012/7/9,0.00460456
2012/7/10,0.00461341
2012/7/11,0.00449254
2012/7/12,0.00423146
2012/7/13,0.00399714
2012/7/14,0.00396799
2012/7/15,0.00403803
2012/7/16,0.0041615
2012/7/17,0.00432099
2012/7/18,0.00448571
2012/7/19,0.00470883
2012/7/20,0.00489547
2012/7/21,0.00492197
2012/7/22,0.00488226
2012/7/23,0.00490813
2012/7/24,0.00501653
2012/7/25,0.00507096
2012/7/26,0.00508897
2012/7/27,0.00507007
2012/7/28,0.00487409
2012/7/29,0.00467827
2012/7/30,0.00442904
2012/7/31,0.00402683
2012/8/1,0.00369943
2012/8/2,0.00331311
2012/8/3,0.00303053
2012/8/4,0.00296729
2012/8/5,0.00298064
2012/8/6,0.00297969
2012/8/7,0.00313246
2012/8/8,0.00328069
2012/8/9,0.00343847
2012/8/10,0.00354163
2012/8/11,0.00350726
2012/8/12,0.00337843
2012/8/13,0.00318767
2012/8/14,0.00296111
2012/8/15,0.00271097
2012/8/16,0.00252506
2012/8/17,0.00243289
2012/8/18,0.00251801
2012/8/19,0.00260897
2012/8/20,0.00273969
2012/8/21,0.00284671
2012/8/22,0.00282106
2012/8/23,0.00283879
2012/8/24,0.00282553
2012/8/25,0.0027588
2012/8/26,0.00262379
2012/8/27,0.00244894
2012/8/28,0.00224953
2012/8/29,0.00223563
2012/8/30,0.00222999
2012/8/31,0.00217814
2012/9/1,0.00204421
2012/9/2,0.0019831
2012/9/3,0.00188327
2012/9/4,0.00199783
2012/9/5,0.00204416
2012/9/6,0.00207159
2012/9/7,0.00204621
2012/9/8,0.00203103
2012/9/9,0.00200847
2012/9/10,0.00204583
2012/9/11,0.00189817
2012/9/12,0.00179426
2012/9/13,0.00172163
2012/9/14,0.00169377
2012/9/15,0.00169433
2012/9/16,0.00170186
2012/9/17,0.00169466
2012/9/18,0.0016882
2012/9/19,0.00168909
2012/9/20,0.00167277
2012/9/21,0.00170869
2012/9/22,0.00174077
2012/9/23,0.0017687
2012/9/24,0.0018012
2012/9/25,0.00185139
2012/9/26,0.0018511
2012/9/27,0.0017819
2012/9/28,0.00169981
2012/9/29,0.0016206
2012/9/30,0.00155069
2012/10/1,0.00145451
2012/10/2,0.00135357
2012/10/3,0.00133986
2012/10/4,0.00132167
2012/10/5,0.00129737
2012/10/6,0.00129943
2012/10/7,0.00128784
2012/10/8,0.00132831
2012/10/9,0.00136641
2012/10/10,0.00132841
2012/10/11,0.00133343
2012/10/12,0.00135601
2012/10/13,0.00134919
2012/10/14,0.00135791
2012/10/15,0.00134891
2012/10/16,0.00134334
2012/10/17,0.00139706
2012/10/18,0.00141873
2012/10/19,0.00141564
2012/10/20,0.00145124
2012/10/21,0.00146837
2012/10/22,0.00147953
2012/10/23,0.00147441
2012/10/24,0.0014853
2012/10/25,0.00152203
2012/10/26,0.00155837
2012/10/27,0.0015884
2012/10/28,0.00150049
2012/10/29,0.00135484
2012/10/30,0.00122134
2012/10/31,0.00106229
2012/11/1,0.000908071
2012/11/2,0.000741529
2012/11/3,0.000598
2012/11/4,0.000578371
2012/11/5,0.000570171
2012/11/6,0.000590057
2012/11/7,0.000586557
2012/11/8,0.000579157
2012/11/9,0.000609757
2012/11/10,0.000605014
2012/11/11,0.0006089
2012/11/12,0.000679443
2012/11/13,0.000720329
2012/11/14,0.000711086
2012/11/15,0.000706
2012/11/16,0.000677871
2012/11/17,0.0006782
2012/11/18,0.000678357
2012/11/19,0.0006033
2012/11/20,0.000595129
2012/11/21,0.000602986
2012/11/22,0.000583957
2012/11/23,0.000568057
2012/11/24,0.0005619
2012/11/25,0.0005476
2012/11/26,0.000550029
2012/11/27,0.0006442
2012/11/28,0.0008508
2012/11/29,0.00107569
2012/11/30,0.00129013
2012/12/1,0.00150016
2012/12/2,0.00164371
2012/12/3,0.00190113
2012/12/4,0.00208484
2012/12/5,0.00225054
2012/12/6,0.00237683
2012/12/7,0.00242181
2012/12/8,0.00247573
2012/12/9,0.00251536
2012/12/10,0.00252856
2012/12/11,0.00253357
2012/12/12,0.0026487
2012/12/13,0.00285123
2012/12/14,0.00328291
2012/12/15,0.00366401
2012/12/16,0.00377293
2012/12/17,0.00378471
2012/12/18,0.00368949
2012/12/19,0.00344381
2012/12/20,0.0030788
2012/12/21,0.00255093
2012/12/22,0.002112
2012/12/23,0.00204203
2012/12/24,0.00199261
2012/12/25,0.00193967
2012/12/26,0.00196236
2012/12/27,0.00201493
2012/12/28,0.00212766
2012/12/29,0.0021837
2012/12/30,0.00228731
2012/12/31,0.00237749
2013/1/1,0.00248794
2013/1/2,0.00248527
2013/1/3,0.00252467
2013/1/4,0.00255206
2013/1/5,0.00255359
2013/1/6,0.00245139
2013/1/7,0.0024305
2013/1/8,0.00240343
2013/1/9,0.00240526
2013/1/10,0.00239241
2013/1/11,0.00233964
2013/1/12,0.00227033
2013/1/13,0.00223277
2013/1/14,0.00214019
2013/1/15,0.00211196
2013/1/16,0.002119
2013/1/17,0.00219239
2013/1/18,0.00227
2013/1/19,0.00232497
2013/1/20,0.00242066
2013/1/21,0.00249627
2013/1/22,0.00256776
2013/1/23,0.00264683
2013/1/24,0.00270904
2013/1/25,0.0028073
2013/1/26,0.00292853
2013/1/27,0.00300997
2013/1/28,0.00321754
2013/1/29,0.0032958
2013/1/30,0.00340841
2013/1/31,0.00353121
2013/2/1,0.00354479
2013/2/2,0.00351543
2013/2/3,0.0035957
2013/2/4,0.00358197
2013/2/5,0.00375866
2013/2/6,0.00382486
2013/2/7,0.00379814
2013/2/8,0.00397046
2013/2/9,0.00408984
2013/2/10,0.00408879
2013/2/11,0.00407544
2013/2/12,0.00395686
2013/2/13,0.00390471
2013/2/14,0.00400417
2013/2/15,0.00398773
2013/2/16,0.00398534
2013/2/17,0.00397054
2013/2/18,0.00398869
2013/2/19,0.00396234
2013/2/20,0.00387021
2013/2/21,0.00365316
2013/2/22,0.00347459
2013/2/23,0.00339611
2013/2/24,0.00331356
2013/2/25,0.00307567
2013/2/26,0.00293949
2013/2/27,0.00281037
2013/2/28,0.00270334
2013/3/1,0.00255089
2013/3/2,0.00239176
2013/3/3,0.00226317
2013/3/4,0.00228591
2013/3/5,0.00220383
2013/3/6,0.00214219
2013/3/7,0.00204787
2013/3/8,0.00192803
2013/3/9,0.00183639
2013/3/10,0.00176647
2013/3/11,0.00174513
2013/3/12,0.0017899
2013/3/13,0.00181296
2013/3/14,0.00187307
2013/3/15,0.00193066
2013/3/16,0.00195753
2013/3/17,0.00193491
2013/3/18,0.00184804
2013/3/19,0.00178301
2013/3/20,0.00179357
2013/3/21,0.00174241
2013/3/22,0.00171579
2013/3/23,0.00167966
2013/3/24,0.00170747
2013/3/25,0.00167756
2013/3/26,0.00161209
2013/3/27,0.00154953
2013/3/28,0.00158113
2013/3/29,0.00164967
2013/3/30,0.00170791
2013/3/31,0.00169266
2013/4/1,0.00172336
2013/4/2,0.00175719
2013/4/3,0.00175634
2013/4/4,0.00171451
2013/4/5,0.00164631
2013/4/6,0.00160361
2013/4/7,0.00162064
2013/4/8,0.00166164
2013/4/9,0.00167499
2013/4/10,0.00170351
2013/4/11,0.00180581
2013/4/12,0.00189909
2013/4/13,0.001944
2013/4/14,0.00195143
