Date,Value
2023/1/1,7.525749109
2023/1/2,7.718778379
2023/1/3,7.811413647
2023/1/4,8.015886452
2023/1/5,8.166389594
2023/1/6,8.336839498
2023/1/7,8.491732016
2023/1/8,8.626799011
2023/1/9,8.656023434
2023/1/10,8.749247308
2023/1/11,8.702626627
2023/1/12,8.744193783
2023/1/13,8.756095241
2023/1/14,8.813949764
2023/1/15,8.907287886
2023/1/16,9.096283848
2023/1/17,9.415989536
2023/1/18,9.834430535
2023/1/19,10.32892424
2023/1/20,10.78601738
2023/1/21,11.18970225
2023/1/22,11.48606687
2023/1/23,11.66620503
2023/1/24,11.79400335
2023/1/25,11.83277271
2023/1/26,11.77945147
2023/1/27,11.7903587
2023/1/28,11.62172142
2023/1/29,11.3768934
2023/1/30,11.06948708
2023/1/31,10.71553889
2023/2/1,10.51781295
2023/2/2,10.26529361
2023/2/3,10.11715822
2023/2/4,10.1175692
2023/2/5,10.34479439
2023/2/6,10.66555695
2023/2/7,11.02220956
2023/2/8,11.24067148
2023/2/9,11.42970355
2023/2/10,11.4424985
2023/2/11,11.50307327
2023/2/12,11.41450225
2023/2/13,11.30946665
2023/2/14,11.22695549
2023/2/15,11.06345221
2023/2/16,10.74039176
2023/2/17,10.43134061
2023/2/18,10.15305337
2023/2/19,9.838509238
2023/2/20,9.663790695
2023/2/21,9.613196046
2023/2/22,9.629998448
2023/2/23,9.818693776
2023/2/24,10.00026989
2023/2/25,10.17118135
2023/2/26,10.53396266
2023/2/27,10.70908403
2023/2/28,10.86826522
2023/3/1,11.0102852
2023/3/2,11.23808381
2023/3/3,11.44901929
2023/3/4,11.67565811
2023/3/5,11.77657523
2023/3/6,11.76770152
2023/3/7,11.63258157
2023/3/8,11.45628636
2023/3/9,11.14952282
2023/3/10,10.95459436
2023/3/11,10.54667153
2023/3/12,9.916632006
2023/3/13,9.548589005
2023/3/14,9.423322391
2023/3/15,9.230574963
2023/3/16,9.10951374
2023/3/17,8.96207332
2023/3/18,9.032392119
2023/3/19,9.357558121
2023/3/20,9.474593965
2023/3/21,9.146669345
2023/3/22,8.924001226
2023/3/23,8.758126128
2023/3/24,8.612208515
2023/3/25,8.472151269
2023/3/26,8.376790697
2023/3/27,8.410507738
2023/3/28,8.56506013
2023/3/29,8.610460629
2023/3/30,8.660900993
2023/3/31,8.684240822
2023/4/1,8.723348499
2023/4/2,8.756412735
2023/4/3,8.82435817
2023/4/4,9.036372096
2023/4/5,9.301682005
2023/4/6,9.450675065
2023/4/7,9.623497242
2023/4/8,9.583792648
2023/4/9,9.14733059
2023/4/10,8.812763054
2023/4/11,8.502465093
2023/4/12,8.363641361
2023/4/13,8.399060109
2023/4/14,8.320571577
2023/4/15,8.391802688
2023/4/16,8.763382612
2023/4/17,8.886777156
2023/4/18,8.898417834
2023/4/19,8.920320741
2023/4/20,8.792160895
2023/4/21,8.704994894
2023/4/22,8.580189468
2023/4/23,8.443110123
2023/4/24,8.473830957
2023/4/25,8.615234782
2023/4/26,8.651848538
2023/4/27,8.696740982
2023/4/28,8.725013106
2023/4/29,8.709128733
2023/4/30,8.55347952
2023/5/1,8.542154902
2023/5/2,8.384100059
2023/5/3,8.212626681
2023/5/4,8.130035678
2023/5/5,8.118854762
2023/5/6,8.103963403
2023/5/7,8.250630845
2023/5/8,8.182944289
2023/5/9,8.232122474
2023/5/10,8.387128659
2023/5/11,8.418296051
2023/5/12,8.351784046
2023/5/13,8.378559334
2023/5/14,8.382251348
2023/5/15,8.337585032
2023/5/16,8.267881611
2023/5/17,8.079252248
2023/5/18,7.965508065
2023/5/19,7.85705315
2023/5/20,7.720611631
2023/5/21,7.613420945
2023/5/22,7.530862231
2023/5/23,7.529687755
2023/5/24,7.514671123
2023/5/25,7.435114491
2023/5/26,7.484018982
2023/5/27,7.489644966
2023/5/28,7.369817882
2023/5/29,7.361354507
2023/5/30,7.253440914
2023/5/31,7.499460621
2023/6/1,7.499375253
2023/6/2,7.715054057
2023/6/3,7.995054447
2023/6/4,8.254731655
2023/6/5,8.578002242
2023/6/6,9.312295666
2023/6/7,9.902784569
2023/6/8,10.4911713
2023/6/9,10.88216157
2023/6/10,11.12780779
2023/6/11,11.33268135
2023/6/12,11.35174019
2023/6/13,11.25277534
2023/6/14,11.21496859
2023/6/15,11.11710984
2023/6/16,11.01048716
2023/6/17,10.98045124
2023/6/18,10.89507086
2023/6/19,10.73546842
2023/6/20,10.44344423
2023/6/21,10.04374763
2023/6/22,9.633620616
2023/6/23,9.370469521
2023/6/24,9.054467065
2023/6/25,8.835103016
2023/6/26,8.761612437
2023/6/27,8.880465364
2023/6/28,9.004526724
2023/6/29,9.194249291
2023/6/30,9.291625098
2023/7/1,9.32119745
2023/7/2,9.251341095
2023/7/3,9.188852191
2023/7/4,9.018549929
2023/7/5,8.850274189
2023/7/6,8.894158414
2023/7/7,8.950361803
2023/7/8,8.965533723
2023/7/9,9.071825324
2023/7/10,9.186205969
2023/7/11,9.404903548
2023/7/12,9.588305067
2023/7/13,9.511022712
2023/7/14,9.360834063
2023/7/15,9.312629746
2023/7/16,9.278995244
2023/7/17,9.220802581
2023/7/18,9.082190947
2023/7/19,8.986219354
2023/7/20,8.876753446
2023/7/21,8.765009816
2023/7/22,8.757026773
2023/7/23,8.791680743
2023/7/24,8.853636472
2023/7/25,8.948720602
2023/7/26,9.120787274
2023/7/27,9.339951453
2023/7/28,9.450748785
2023/7/29,9.552122739
2023/7/30,9.509711451
2023/7/31,9.514917705
2023/8/1,9.636443347
2023/8/2,9.737410818
2023/8/3,9.874023203
2023/8/4,10.05115255
2023/8/5,10.03887563
2023/8/6,9.986341693
2023/8/7,9.921082336
2023/8/8,9.831201835
2023/8/9,9.754739638
2023/8/10,9.589073709
2023/8/11,9.433121251
2023/8/12,9.248730056
2023/8/13,9.210378754
2023/8/14,9.197888452
2023/8/15,9.15112944
2023/8/16,9.031610673
2023/8/17,9.010320211
2023/8/18,8.973690364
2023/8/19,9.001538546
2023/8/20,8.976653808
2023/8/21,8.935559839
2023/8/22,8.917241145
2023/8/23,8.827549366
2023/8/24,8.596656418
2023/8/25,8.403721514
2023/8/26,8.242200444
2023/8/27,8.183760585
2023/8/28,8.072187031
2023/8/29,7.658761572
2023/8/30,7.452485909
2023/8/31,7.447454427
2023/9/1,7.461203421
2023/9/2,7.534081078
2023/9/3,7.487485142
2023/9/4,7.491390435
2023/9/5,7.62782685
2023/9/6,7.584612327
2023/9/7,7.516267872
2023/9/8,7.460601383
2023/9/9,7.38182239
2023/9/10,7.397737356
2023/9/11,7.355547597
2023/9/12,7.382506993
2023/9/13,7.469158456
2023/9/14,7.682470255
2023/9/15,7.954474148
2023/9/16,8.13203903
2023/9/17,8.260976742
2023/9/18,8.470633734
2023/9/19,8.810970546
2023/9/20,9.125982114
2023/9/21,9.217776581
2023/9/22,9.319899475
2023/9/23,9.51140782
2023/9/24,9.470952949
2023/9/25,9.314262399
2023/9/26,8.937902816
2023/9/27,8.485071471
2023/9/28,7.918623385
2023/9/29,7.475803048
2023/9/30,7.147358268
2023/10/1,7.083451839
2023/10/2,7.070544832
2023/10/3,7.168708681
2023/10/4,7.387920262
2023/10/5,7.742045188
2023/10/6,7.777512276
2023/10/7,7.75470085
2023/10/8,7.667121949
2023/10/9,7.628274556
2023/10/10,7.48375258
2023/10/11,7.289848781
2023/10/12,7.163657358
2023/10/13,7.243298571
2023/10/14,7.319686664
2023/10/15,7.353184006
2023/10/16,7.339221721
2023/10/17,7.301004856
2023/10/18,7.538885345
2023/10/19,7.502524405
2023/10/20,7.483242935
2023/10/21,7.546297915
2023/10/22,7.549289635
2023/10/23,7.526968665
2023/10/24,7.602232955
2023/10/25,7.434998505
2023/10/26,7.456642875
2023/10/27,7.372978935
2023/10/28,7.224376725
