Date,Value
2022/1/1,0.72834358
2022/1/2,0.7206616
2022/1/3,0.73132674
2022/1/4,0.7328619
2022/1/5,0.73623801
2022/1/6,0.73606274
2022/1/7,0.72807724
2022/1/8,0.72488357
2022/1/9,0.74909653
2022/1/10,0.76275704
2022/1/11,0.74375677
2022/1/12,0.74839595
2022/1/13,0.72524919
2022/1/14,0.70181211
2022/1/15,0.70795628
2022/1/16,0.71226649
2022/1/17,0.69582175
2022/1/18,0.69153474
2022/1/19,0.69746668
2022/1/20,0.68437932
2022/1/21,0.67454642
2022/1/22,0.67402631
2022/1/23,0.67965518
2022/1/24,0.67906245
2022/1/25,0.72564715
2022/1/26,0.7200363
2022/1/27,0.71638893
2022/1/28,0.70821977
2022/1/29,0.69336978
2022/1/30,0.69231474
2022/1/31,0.64994245
2022/2/1,0.65250454
2022/2/2,0.6471101
2022/2/3,0.64301466
2022/2/4,0.63232826
2022/2/5,0.63009563
2022/2/6,0.63808294
2022/2/7,0.652661
2022/2/8,0.64883821
2022/2/9,0.63226777
2022/2/10,0.63498392
2022/2/11,0.64508964
2022/2/12,0.65819323
2022/2/13,0.65624253
2022/2/14,0.65303594
2022/2/15,0.66607492
2022/2/16,0.684605
2022/2/17,0.69194911
2022/2/18,0.72381898
2022/2/19,0.71146269
2022/2/20,0.71191767
2022/2/21,0.71882151
2022/2/22,0.70701833
2022/2/23,0.6713011
2022/2/24,0.62606114
2022/2/25,0.61136978
2022/2/26,0.5732417
2022/2/27,0.56327657
2022/2/28,0.61173067
2022/3/1,0.59742028
2022/3/2,0.57036937
2022/3/3,0.56476798
2022/3/4,0.57862075
2022/3/5,0.59197362
2022/3/6,0.57532464
2022/3/7,0.55358678
2022/3/8,0.53879573
2022/3/9,0.5227769
2022/3/10,0.52519241
2022/3/11,0.52988673
2022/3/12,0.53338781
2022/3/13,0.52824255
2022/3/14,0.52209386
2022/3/15,0.54881103
2022/3/16,0.58895439
2022/3/17,0.58509252
2022/3/18,0.596079763
2022/3/19,0.594455683
2022/3/20,0.600290214
2022/3/21,0.601638932
2022/3/22,0.570815356
2022/3/23,0.529787163
2022/3/24,0.531879452
2022/3/25,0.531954823
2022/3/26,0.542758504
2022/3/27,0.519647165
2022/3/28,0.50895346
2022/3/29,0.526844481
2022/3/30,0.529061024
2022/3/31,0.557508149
2022/4/1,0.539846864
2022/4/2,0.508228645
2022/4/3,0.490742031
2022/4/4,0.480440895
2022/4/5,0.487997766
2022/4/6,0.478131489
2022/4/7,0.454315275
2022/4/8,0.447876618
2022/4/9,0.44829024
2022/4/10,0.45841423
2022/4/11,0.485723152
2022/4/12,0.495756214
2022/4/13,0.504629008
2022/4/14,0.50942529
2022/4/15,0.502369403
2022/4/16,0.492797623
2022/4/17,0.484326001
2022/4/18,0.458096155
2022/4/19,0.440335976
2022/4/20,0.433052762
2022/4/21,0.435525127
2022/4/22,0.424644655
2022/4/23,0.428603389
2022/4/24,0.433976679
2022/4/25,0.44180684
2022/4/26,0.456726581
2022/4/27,0.483738919
2022/4/28,0.474480601
2022/4/29,0.486284694
2022/4/30,0.44458061
2022/5/1,0.424142818
2022/5/2,0.41718356
2022/5/3,0.40685087
2022/5/4,0.41223751
2022/5/5,0.43518426
2022/5/6,0.44323237
2022/5/7,0.46053033
2022/5/8,0.45966413
2022/5/9,0.45246416
2022/5/10,0.45478712
2022/5/11,0.46149524
2022/5/12,0.45409608
2022/5/13,0.45377352
2022/5/14,0.44640036
2022/5/15,0.43760457
2022/5/16,0.42350703
2022/5/17,0.42859131
2022/5/18,0.43645891
2022/5/19,0.43555916
2022/5/20,0.42929742
2022/5/21,0.42404906
2022/5/22,0.42957195
2022/5/23,0.43159466
2022/5/24,0.43893083
2022/5/25,0.43271014
2022/5/26,0.42497456
2022/5/27,0.41739364
2022/5/28,0.42010771
2022/5/29,0.42880691
2022/5/30,0.42851951
2022/5/31,0.4305876
2022/6/1,0.4228278
2022/6/2,0.40897858
2022/6/3,0.41280471
2022/6/4,0.42184001
2022/6/5,0.43853001
2022/6/6,0.44267021
2022/6/7,0.44853261
2022/6/8,0.45285124
2022/6/9,0.45356381
2022/6/10,0.44901382
2022/6/11,0.43539225
2022/6/12,0.44903412
2022/6/13,0.45043719
2022/6/14,0.4581293
2022/6/15,0.47691338
2022/6/16,0.46281324
2022/6/17,0.46385333
2022/6/18,0.46611684
2022/6/19,0.47022044
2022/6/20,0.48015587
2022/6/21,0.48244114
2022/6/22,0.47634008
2022/6/23,0.47839314
2022/6/24,0.4801636
2022/6/25,0.48282235
2022/6/26,0.4832519
2022/6/27,0.48719827
2022/6/28,0.48390415
2022/6/29,0.48543869
2022/6/30,0.43741266
2022/7/1,0.44089474
2022/7/2,0.42698397
2022/7/3,0.43276038
2022/7/4,0.43995098
2022/7/5,0.44501641
2022/7/6,0.44819845
2022/7/7,0.45031475
2022/7/8,0.45652105
2022/7/9,0.45510468
2022/7/10,0.45811033
2022/7/11,0.46091627
2022/7/12,0.46985728
2022/7/13,0.4742521
2022/7/14,0.47533661
2022/7/15,0.47470472
2022/7/16,0.47137567
2022/7/17,0.47217204
2022/7/18,0.47535822
2022/7/19,0.4715321
2022/7/20,0.46812119
2022/7/21,0.4720651
2022/7/22,0.46699555
2022/7/23,0.46129355
2022/7/24,0.46804644
2022/7/25,0.47129303
2022/7/26,0.47527634
2022/7/27,0.47543283
2022/7/28,0.47757547
2022/7/29,0.47230908
2022/7/30,0.47482049
2022/7/31,0.46150793
2022/8/1,0.46302817
2022/8/2,0.46968868
2022/8/3,0.47806353
2022/8/4,0.47474589
2022/8/5,0.47219019
2022/8/6,0.47046342
2022/8/7,0.47403426
2022/8/8,0.47299326
2022/8/9,0.47173502
2022/8/10,0.46989888
2022/8/11,0.46472216
2022/8/12,0.46432627
2022/8/13,0.45862406
2022/8/14,0.45577307
2022/8/15,0.46044063
2022/8/16,0.46353566
2022/8/17,0.46277989
2022/8/18,0.46594937
2022/8/19,0.45552519
2022/8/20,0.45258168
2022/8/21,0.45822142
2022/8/22,0.45298085
2022/8/23,0.4533546
2022/8/24,0.45250293
2022/8/25,0.47133184
2022/8/26,0.46648893
2022/8/27,0.46017355
2022/8/28,0.46221978
2022/8/29,0.4596391
2022/8/30,0.45333173
2022/8/31,0.45358964
2022/9/1,0.44503896
2022/9/2,0.44900185
2022/9/3,0.44897714
2022/9/4,0.44364782
2022/9/5,0.44699712
2022/9/6,0.45230587
2022/9/7,0.45846873
2022/9/8,0.46357733
2022/9/9,0.45310896
2022/9/10,0.44831286
2022/9/11,0.44989894
2022/9/12,0.45490435
2022/9/13,0.46175271
2022/9/14,0.45605727
2022/9/15,0.45834465
2022/9/16,0.45835631
2022/9/17,0.45482502
2022/9/18,0.46549949
2022/9/19,0.46555482
2022/9/20,0.44713326
2022/9/21,0.44628657
2022/9/22,0.45391315
2022/9/23,0.44394726
2022/9/24,0.439765
2022/9/25,0.44965877
2022/9/26,0.44833967
2022/9/27,0.44743638
2022/9/28,0.4444756
2022/9/29,0.44522581
2022/9/30,0.47204172
2022/10/1,0.47405331
2022/10/2,0.50103441
2022/10/3,0.52756056
2022/10/4,0.53802316
2022/10/5,0.54898773
2022/10/6,0.5274759
2022/10/7,0.51526034
2022/10/8,0.53047237
2022/10/9,0.52714175
2022/10/10,0.51979448
2022/10/11,0.50307101
2022/10/12,0.50126558
2022/10/13,0.49243504
2022/10/14,0.48743164
2022/10/15,0.49661088
2022/10/16,0.51460459
2022/10/17,0.53066216
2022/10/18,0.50392272
2022/10/19,0.48899105
2022/10/20,0.49739015
2022/10/21,0.50091766
2022/10/22,0.50403003
2022/10/23,0.50899759
2022/10/24,0.49179803
2022/10/25,0.51971977
2022/10/26,0.53212167
2022/10/27,0.53572517
2022/10/28,0.5291757
2022/10/29,0.51787843
2022/10/30,0.51838996
2022/10/31,0.55218246
2022/11/1,0.55633209
2022/11/2,0.5754423
2022/11/3,0.58658069
2022/11/4,0.57891799
2022/11/5,0.56396766
2022/11/6,0.56902076
2022/11/7,0.56222459
2022/11/8,0.55678124
2022/11/9,0.55543173
2022/11/10,0.56075555
2022/11/11,0.59822532
2022/11/12,0.63404713
2022/11/13,0.63291468
2022/11/14,0.60184938
2022/11/15,0.61931413
2022/11/16,0.59869187
2022/11/17,0.59668421
2022/11/18,0.60074143
2022/11/19,0.59540576
2022/11/20,0.60107889
2022/11/21,0.6152795
2022/11/22,0.61222255
2022/11/23,0.59967363
2022/11/24,0.59605754
2022/11/25,0.61341222
2022/11/26,0.60213795
2022/11/27,0.62236342
2022/11/28,0.71339634
2022/11/29,0.75713067
2022/11/30,0.71978702
2022/12/1,0.68299787
2022/12/2,0.66932251
2022/12/3,0.68797379
2022/12/4,0.68719978
2022/12/5,0.67810186
2022/12/6,0.65950578
2022/12/7,0.65384127
2022/12/8,0.65289161
2022/12/9,0.67272072
2022/12/10,0.6816251
2022/12/11,0.6882517
2022/12/12,0.70361232
2022/12/13,0.70701295
2022/12/14,0.69729185
2022/12/15,0.71428631
2022/12/16,0.74405891
2022/12/17,0.73434898
2022/12/18,0.70853033
2022/12/19,0.68602067
2022/12/20,0.70100813
2022/12/21,0.72462214
2022/12/22,0.7095781
2022/12/23,0.70200058
2022/12/24,0.71094342
2022/12/25,0.71680568
2022/12/26,0.72163042
2022/12/27,0.73837848
2022/12/28,0.76659165
2022/12/29,0.74835558
2022/12/30,0.70192392
2022/12/31,0.72861427
2023/1/1,0.73169387
2023/1/2,0.72321393
2023/1/3,0.70883983
2023/1/4,0.67681227
2023/1/5,0.66507946
2023/1/6,0.64894748
2023/1/7,0.66216946
2023/1/8,0.66216191
2023/1/9,0.63056202
2023/1/10,0.60084624
2023/1/11,0.62375045
2023/1/12,0.70167932
2023/1/13,0.74855291
2023/1/14,0.73491471
2023/1/15,0.72032141
2023/1/16,0.68273908
2023/1/17,0.65585355
2023/1/18,0.6606176
2023/1/19,0.63315544
2023/1/20,0.63674213
2023/1/21,0.67214703
2023/1/22,0.71608557
2023/1/23,0.68827634
2023/1/24,0.66423501
2023/1/25,0.68036798
2023/1/26,0.68498397
2023/1/27,0.66489761
2023/1/28,0.64622676
2023/1/29,0.61225031
2023/1/30,0.66134003
2023/1/31,0.70001435
2023/2/1,0.7026937
2023/2/2,0.68410472
2023/2/3,0.67025234
2023/2/4,0.67459547
2023/2/5,0.6794698
2023/2/6,0.68764102
2023/2/7,0.69590066
2023/2/8,0.69616029
2023/2/9,0.6764113
2023/2/10,0.68268235
2023/2/11,0.716834
2023/2/12,0.7313045
2023/2/13,0.73186504
2023/2/14,0.69788552
2023/2/15,0.66397963
2023/2/16,0.66273884
2023/2/17,0.67029856
2023/2/18,0.68753727
2023/2/19,0.70184897
2023/2/20,0.70690534
2023/2/21,0.6999758
2023/2/22,0.70053165
2023/2/23,0.69367852
2023/2/24,0.66847343
2023/2/25,0.64142533
2023/2/26,0.63264167
2023/2/27,0.63573709
2023/2/28,0.61864259
2023/3/1,0.60139795
2023/3/2,0.57691547
2023/3/3,0.55144593
2023/3/4,0.54551811
2023/3/5,0.52889597
2023/3/6,0.53775394
2023/3/7,0.52128735
2023/3/8,0.51252073
2023/3/9,0.55282171
2023/3/10,0.60190422
2023/3/11,0.57794919
2023/3/12,0.54089195
2023/3/13,0.57521819
2023/3/14,0.59988551
2023/3/15,0.61338107
2023/3/16,0.59363567
2023/3/17,0.57367731
2023/3/18,0.55990712
2023/3/19,0.54254151
2023/3/20,0.55658298
2023/3/21,0.57613968
2023/3/22,0.6008891
2023/3/23,0.59900268
2023/3/24,0.58090224
2023/3/25,0.56434041
2023/3/26,0.54307216
2023/3/27,0.52943818
2023/3/28,0.5245203
2023/3/29,0.50096444
2023/3/30,0.48920513
2023/3/31,0.4898944
2023/4/1,0.52363014
2023/4/2,0.54973779
2023/4/3,0.55271355
2023/4/4,0.56288864
2023/4/5,0.54511498
2023/4/6,0.51074778
2023/4/7,0.47638871
2023/4/8,0.47329013
2023/4/9,0.50193795
2023/4/10,0.49392077
2023/4/11,0.49586023
2023/4/12,0.50000426
2023/4/13,0.49195795
2023/4/14,0.48494878
2023/4/15,0.4778307
2023/4/16,0.48559379
2023/4/17,0.48144368
2023/4/18,0.50100372
2023/4/19,0.52929999
2023/4/20,0.54298054
2023/4/21,0.5553661
2023/4/22,0.54902223
2023/4/23,0.53694814
2023/4/24,0.49150691
2023/4/25,0.47923472
2023/4/26,0.48967423
2023/4/27,0.48912928
2023/4/28,0.46772993
2023/4/29,0.43648163
2023/4/30,0.42816271
2023/5/1,0.44707054
2023/5/2,0.47367898
2023/5/3,0.48534206
2023/5/4,0.48456116
2023/5/5,0.47532039
2023/5/6,0.48019193
2023/5/7,0.48332991
2023/5/8,0.48923112
2023/5/9,0.47625461
2023/5/10,0.4656263
2023/5/11,0.4590176
2023/5/12,0.45347895
2023/5/13,0.4617877
2023/5/14,0.45721908
