Index,Real,ARIMA,GRU,GWO-LSTM,LSTM,SAES
1.0,495.73513,501.156462343852,453.116198228792,519.4235244702263,458.13175540961686,541.9550506913613
2.0,488.63771,492.1258313306288,532.562320122541,507.96842807057874,566.2295802271622,408.1876115534016
3.0,482.59722999999997,482.6873515430916,417.0736574508077,506.5697358366799,579.4239026390266,408.5614486935938
4.0,486.33569,487.16580662508005,567.0962384604934,476.7776882117876,392.2281890722733,392.4927641880328
5.0,489.06831,492.6259617616278,543.330975137807,476.02423509431776,409.7950541542117,391.08687477577024
6.0,488.39639,495.4616064458897,535.1639060730176,483.9932858884037,527.7094946838257,399.4741370193863
7.0,485.39923,489.2945563515189,391.14866930903816,506.72294799145294,529.0511094521785,436.0988401597165
8.0,486.61259,482.0271584404729,530.2529020197987,463.46853271456416,584.4438151232903,548.5524548815865
9.0,479.47299999999996,481.6328170376416,434.9306145000404,452.5442787674512,445.12389805636144,412.9239245145196
10.0,474.22001000000006,472.8440917039479,415.0422987643601,475.1574223256425,400.6861807536168,547.1616923048206
11.0,465.5267,457.0519261693029,521.1788573605811,492.7951231253077,397.2576151455153,536.7125806271576
12.0,463.32174999999995,467.8881993338036,532.8397657387627,474.66689434673225,512.3505825810443,500.1659408694238
13.0,460.02604,456.1619176853245,523.1225276744406,487.0674840334838,522.360011487599,403.5357112650176
14.0,455.95742,445.97517916286085,423.3203105359436,483.7636990488075,493.9771326414335,522.2189827041198
15.0,458.28962,466.7626723123173,411.66101182792175,456.9117504329376,394.64555364737896,393.9398193143844
16.0,466.20854,461.7891175686592,537.3191290752407,477.7149584897333,423.2569231156838,499.19132243088126
17.0,461.127,454.7221627233632,384.8262473958055,479.5005812085819,409.0831632276236,545.4541084252301
18.0,462.7866900000001,466.7311637224566,401.05567179108016,467.4905539911771,409.62136327781246,540.5689839701047
19.0,482.52473000000003,476.5209895475617,535.1341205885335,471.33930024032526,574.818190072064,562.1082635297084
20.0,478.82806999999997,476.1532386554344,557.1258701971608,498.2865812740612,423.8905621073985,443.49112313471466
21.0,477.87908,480.2891795260696,430.8758763841088,490.15482146826616,436.1783530039504,553.9013761320039
22.0,480.52884,483.27881934000425,388.5678546714456,512.9932915343238,385.47827765187606,542.8736920059113
23.0,476.05301,475.784494838258,397.0932778853545,480.8503065181061,517.7970382134388,441.43994693356
24.0,476.48982,478.5916629285682,423.2129727988776,492.0405775732247,391.8890284020322,526.6103172382923
25.0,474.73434000000003,472.07171603348576,525.7463873782024,466.848458321046,517.4867407443714,512.2037552190932
26.0,486.2006799999999,494.5385453840132,445.2122724194693,481.08574165947056,443.2146274785043,559.6816896506065
27.0,487.01795,493.4764636430303,579.2475274758717,473.3545083047384,521.8409650213457,426.11730687842913
28.0,478.4527,476.6039599048247,414.44602390292727,506.46782169110605,552.9709871238915,545.6062396347806
29.0,473.06298,473.1176137011026,529.5080883464448,504.6994029339067,542.1833432590709,406.1539909081404
30.0,468.78992000000005,469.04310136481433,511.9982735799419,459.4484511883364,557.5856976414541,550.4826042113486
31.0,464.76612,464.23394930970073,414.3380414572576,439.3762470975569,376.2362249662488,398.7980104013336
32.0,470.70476,468.91302418564567,410.7795743974656,495.0629986344333,567.105983838557,517.6764726192132
33.0,490.51241,477.5078279495937,403.3447077047619,512.9985894048713,427.0627100432722,538.5732474852086
34.0,493.1867,484.0009070659013,527.7532325216432,524.6110498512131,413.9773628825952,548.4941920603833
35.0,492.16639000000004,482.2181612383315,395.4913619801899,510.0828925311848,412.2707051855667,553.8505140304469
36.0,486.12136,475.8534580773479,586.0039766346615,462.1575958765577,533.8161120025474,574.742088046789
37.0,485.23668,478.46928948569104,551.4836242627146,457.8176261812725,432.4888083145908,562.5706541698466
38.0,474.11221,469.8647659837671,394.82879419903895,485.6400121476155,546.3561228477655,521.4133056454898
39.0,480.99913,486.78003243402594,393.8226404475355,449.939955136838,531.6878965868991,432.0318051661218
40.0,486.64923999999996,495.66287325344337,431.80999517348783,457.8236277859689,540.2759685977287,430.2759854879631
41.0,487.68179,496.93133682224783,570.1724074726949,465.1647940848578,540.2968682900287,574.9695632973517
42.0,494.93222999999995,484.0786661188898,546.3326878318991,469.436955863473,459.3955982629136,542.8334102027322
43.0,481.32206,488.2702208325322,436.1256998192056,500.73740993984416,433.34245062454977,567.5498782534031
44.0,450.95853,455.2348814449268,536.1250280902466,425.843890830577,494.8503492364444,404.0410423270489
45.0,441.04265999999996,450.3848937452957,395.6801998440182,460.5841014194479,489.2780122561734,479.4617220977697
46.0,465.90216000000004,465.69885135674815,393.6432430858283,449.1415906671857,374.7085563111334,524.1513095058767
47.0,470.99928,472.0187249877016,507.0896063329018,456.0511776669879,542.5385928537041,523.0260954255393
48.0,471.33426000000003,473.78668876739806,505.9621111216981,439.2752441474913,409.8865097225332,555.0978570298596
49.0,482.2919099999999,491.0468174274329,557.3545877813438,454.1348283559801,430.5468851982919,534.5818557600132
50.0,481.60292999999996,471.4260929660834,393.9594262010238,510.5645355402268,563.8031831700623,532.1654233249694
51.0,498.61773999999997,518.6026870531525,402.8458827658639,509.2052279803126,428.711186887693,601.6440466631911
52.0,508.85125,485.4638552727452,448.0303995341586,501.5897983830997,552.025571460205,455.65967643675214
53.0,499.97844000000003,513.0092764434946,551.2689334992119,521.8656322478705,546.9160256581954,599.8556711333281
54.0,497.18662,518.4035513171945,420.36191068906135,470.354328796924,600.1286819842984,415.573749822603
55.0,502.79472000000004,527.1631032329649,461.730563822621,501.512157284804,560.991764815574,457.6771022204387
56.0,498.8009,517.1525544903803,424.6301985640404,496.2823109497487,569.7724085829605,558.4227758232778
57.0,499.65074,484.80789998514587,586.9457894205833,481.7014882147524,442.4921515828986,424.3788171531454
58.0,489.01618,503.1593538791202,424.9123947925109,511.3833605400189,388.5039529095633,541.2964642561483
59.0,483.79731,493.1358348258018,579.3697887957645,481.40256995679056,441.9338865782518,393.4561473200584
60.0,488.95051,478.45188515912366,414.3298699066124,473.6166577697427,404.0585816104796,540.8577700913058
61.0,496.89099,480.9447636031165,560.8863901461355,506.309599573556,570.4059297344834,541.9531281468147
62.0,482.61242999999996,471.23122906599787,449.0605073766464,500.8678591760017,385.3228291645503,387.3201502122796
63.0,489.76078,475.69911353729566,392.1037721277361,514.0594710689418,418.9010455561791,440.0652218649652
64.0,513.97914,537.6418763714504,430.16670971598376,517.8751422326377,428.9325799376335,453.5958102195853
65.0,525.69594,546.1147326077987,615.5243618391139,529.8026311570968,593.9907006779724,600.9654760136698
66.0,507.36985,476.7032331366465,417.506719785405,492.0480694324254,587.098280257493,445.5085786130291
67.0,497.05282,478.5643908037755,417.1446647847556,490.4418189079532,395.6885170851892,583.6532388023286
68.0,490.34048,506.91818892208266,578.1167802201182,498.28679989251566,445.115912758243,551.2661896963996
69.0,491.29686,479.89510293541423,409.4696557362663,465.3598216456449,440.4346051500872,581.5284242307117
70.0,494.8071,478.8706104549152,552.6094204780836,464.7426883274296,411.07147177019954,579.722633396979
71.0,512.3750500000001,484.10276376465487,616.6066900354837,538.5995232629358,410.8012930891952,597.2042581382768
72.0,510.51705999999996,531.2623085447651,431.94574175641947,519.9542810878404,586.8065225049817,618.8816079293495
73.0,504.07632,480.850491728559,596.9336887737375,496.9328293194144,420.86050109911577,459.9931749145762
74.0,492.28659999999996,470.4674019250134,389.5891768737699,512.5098043909386,408.8383067234295,452.00153522265214
75.0,494.91378000000003,474.28156632226256,553.5824854165141,497.0385426628626,441.2763183199891,458.1897188916922
