Time,Value
1,175.513
2,178.861
3,184.957
4,197.284
5,204.674
6,203.65
7,199.11
8,196.746
9,194.523
10,194.156
11,185.467
12,181.866
13,178.344
14,181.263
15,189.879
16,195.106
17,198.594
18,212.61
19,222.21
20,228.124
21,223.291
22,219.239
23,214.673
24,208.86
25,194.22
26,190.137
27,189.337
28,192.114
29,188.761
30,187.441
31,180.594
32,178.291
33,172.581
34,168.036
35,162.291
36,165.869
37,167.18
38,169.533
39,166.544
40,161.567
41,157.913
42,157.943
43,155.79
44,154.67
45,152.041
46,153.799
47,154.86
48,156.16
49,156.287
50,151.839
51,150.519
52,150.794
53,151.23
54,153.804
55,149.846
56,147.553
57,148.571
58,144.036
59,140.703
60,123.011
61,114.359
62,107.076
63,99.3314
64,96.1671
65,91.6671
66,89.3971
67,86.9871
68,88.3486
69,86.54
70,84.5071
71,84.4157
72,88.5571
73,92.4243
74,95.1414
75,97.5714
76,97.1571
77,96.27
78,97.0514
79,95.9171
80,92.4543
81,91.3371
82,86.5371
83,83.3157
84,82.96
85,81.9086
86,79.1614
87,77.6186
88,84.0243
89,93.5971
90,108.156
91,118.609
92,126.984
93,132.897
94,141.946
95,145.28
96,148.189
97,143.686
98,141.324
99,138.337
100,140.11
101,138.66
102,138.699
103,137.11
104,137.779
105,141.427
106,140.513
107,138.544
108,139.434
109,133.313
110,129.373
111,132.366
112,129.336
113,134.363
114,138.387
115,136.947
116,135.901
117,136.303
118,136.146
119,133.787
120,130.09
121,129.671
122,131.917
123,139.829
124,144.023
125,142.744
126,147.391
127,148.436
128,148.614
129,146.961
130,139.699
131,134.54
132,135.441
133,133.926
134,134.754
135,136.867
136,138.369
137,144.74
138,149.13
139,151.076
140,157.09
141,160.267
142,159.299
143,171.04
144,188.581
145,209.169
146,231.474
147,251.389
148,257.373
149,262.247
150,262.506
151,262.301
152,265.449
153,284.784
154,300.064
155,305.909
156,313.001
157,328.909
158,334.244
159,333.371
160,311.541
161,277.407
162,267.386
163,264.956
164,250.999
165,242.621
166,247.557
167,258.151
168,286.126
169,315.19
170,345.767
171,380.243
172,412.314
173,443.933
174,442.786
175,432.46
176,427.544
177,415.284
178,393.784
179,375.174
180,351.757
181,349.093
182,351.279
183,356.384
184,368.744
185,378.899
186,394.243
187,411.82
188,431.801
189,449.08
190,457.426
191,460.456
192,461.341
193,449.254
194,423.146
195,399.714
196,396.799
197,403.803
198,416.15
199,432.099
200,448.571
201,470.883
202,489.547
203,492.197
204,488.226
205,490.813
206,501.653
207,507.096
208,508.897
209,507.007
210,487.409
211,467.827
212,442.904
213,402.683
214,369.943
215,331.311
216,303.053
217,296.729
218,298.064
219,297.969
220,313.246
221,328.069
222,343.847
223,354.163
224,350.726
225,337.843
226,318.767
227,296.111
228,271.097
229,252.506
230,243.289
231,251.801
232,260.897
233,273.969
234,284.671
235,282.106
236,283.879
237,282.553
238,275.88
239,262.379
240,244.894
241,224.953
242,223.563
243,222.999
244,217.814
245,204.421
246,198.31
247,188.327
248,199.783
249,204.416
250,207.159
251,204.621
252,203.103
253,200.847
254,204.583
255,189.817
256,179.426
257,172.163
258,169.377
259,169.433
260,170.186
261,169.466
262,168.82
263,168.909
264,167.277
265,170.869
266,174.077
267,176.87
268,180.12
269,185.139
270,185.11
271,178.19
272,169.981
273,162.06
274,155.069
275,145.451
276,135.357
277,133.986
278,132.167
279,129.737
280,129.943
281,128.784
282,132.831
283,136.641
284,132.841
285,133.343
286,135.601
287,134.919
288,135.791
289,134.891
290,134.334
291,139.706
292,141.873
293,141.564
294,145.124
295,146.837
296,147.953
297,147.441
298,148.53
299,152.203
300,155.837
301,158.84
302,150.049
303,135.484
304,122.134
305,106.229
306,90.8071
307,74.1529
308,59.8
309,57.8371
310,57.0171
311,59.0057
312,58.6557
313,57.9157
314,60.9757
315,60.5014
316,60.89
317,67.9443
318,72.0329
319,71.1086
320,70.6
321,67.7871
322,67.82
323,67.8357
324,60.33
325,59.5129
326,60.2986
327,58.3957
328,56.8057
329,56.19
330,54.76
331,55.0029
332,64.42
333,85.08
334,107.569
335,129.013
336,150.016
337,164.371
338,190.113
339,208.484
340,225.054
341,237.683
342,242.181
343,247.573
344,251.536
345,252.856
346,253.357
347,264.87
348,285.123
349,328.291
350,366.401
351,377.293
352,378.471
353,368.949
354,344.381
355,307.88
356,255.093
357,211.2
358,204.203
359,199.261
360,193.967
361,196.236
362,201.493
363,212.766
364,218.37
365,228.731
366,237.749
367,248.794
368,248.527
369,252.467
370,255.206
371,255.359
372,245.139
373,243.05
374,240.343
375,240.526
376,239.241
377,233.964
378,227.033
379,223.277
380,214.019
381,211.196
382,211.9
383,219.239
384,227
385,232.497
386,242.066
387,249.627
388,256.776
389,264.683
390,270.904
391,280.73
392,292.853
393,300.997
394,321.754
395,329.58
396,340.841
397,353.121
398,354.479
399,351.543
400,359.57
401,358.197
402,375.866
403,382.486
404,379.814
405,397.046
406,408.984
407,408.879
408,407.544
409,395.686
410,390.471
411,400.417
412,398.773
413,398.534
414,397.054
415,398.869
416,396.234
417,387.021
418,365.316
419,347.459
420,339.611
421,331.356
422,307.567
423,293.949
424,281.037
425,270.334
426,255.089
427,239.176
