Index,Real,Predicted
1.0,1322.5,1308.2611281572563
2.0,1318.1,1309.3287244756473
3.0,1322.5,1330.5662176027954
4.0,1313.3,1324.440326733433
5.0,1283.3,1280.57392008383
6.0,1269.4,1270.1396999441445
7.0,1254.5,1256.967439395781
8.0,1258.75,1256.8983955313843
9.0,1259.5,1258.577520889224
10.0,1253.45,1251.1698264717245
11.0,1256.5,1254.3941494416692
12.0,1261.05,1261.691924829707
13.0,1251.75,1248.1175273071922
14.0,1254.8,1253.7077088966762
15.0,1258.2,1259.8654492323074
16.0,1269.05,1270.0005334155132
17.0,1271.65,1273.5704670094335
18.0,1266.05,1266.2039941379564
19.0,1265.55,1265.4007037466522
20.0,1269.4,1270.0807782651364
21.0,1270.5,1269.6272022546962
22.0,1266.2500000000002,1266.431300487291
23.0,1273.0,1274.0132762714754
24.0,1272.0,1271.1866793208735
25.0,1288.45,1283.8951010166713
26.0,1303.7500000000002,1307.7963301054288
27.0,1301.0,1310.1164243966255
28.0,1302.8,1311.8980132010006
29.0,1283.05,1286.4484866479497
30.0,1282.35,1277.2919673254703
31.0,1281.3999999999999,1279.0849990999818
32.0,1267.5,1267.9390590837681
33.0,1236.45,1231.5473040957322
34.0,1213.6,1207.0247824314467
35.0,1226.95,1238.3462987663856
36.0,1229.2,1223.1850273619436
37.0,1226.75,1219.9366070173298
38.0,1211.0,1221.4670853056639
39.0,1214.25,1226.4508933178045
40.0,1212.25,1224.5666862567266
41.0,1185.35,1172.8306994515751
42.0,1186.1,1199.7703811546833
43.0,1187.7,1172.7400853156084
44.0,1187.0,1176.757310759107
45.0,1186.55,1194.764709402575
46.0,1178.1,1190.8503359446306
47.0,1161.85,1142.4893087436697
48.0,1173.5,1152.9291699832677
49.0,1162.2,1177.3985281489372
50.0,1172.5,1155.517781299463
51.0,1177.65,1187.812203648337
52.0,1171.05,1154.6009393586753
53.0,1163.6,1181.3063364607467
54.0,1156.1,1124.2645908357385
55.0,1158.55,1189.2976261268736
56.0,1162.25,1136.2308956393429
57.0,1126.95,1143.04443263664
58.0,1131.6,1151.1331042110037
59.0,1136.25,1163.8056740072705
60.0,1125.7,1103.3954956838393
61.0,1133.65,1153.7753966467071
62.0,1131.35,1158.7028611545265
63.0,1.0,336.34392925724535
64.0,1134.6,1101.9467544902564
65.0,1145.9,1178.423661308909
66.0,1.0,1.0
67.0,1151.0,1129.3161909703256
68.0,1164.25,1181.7532625052427
69.0,1176.7,1197.5335458253055
70.0,1175.85,1156.9835444707232
71.0,1178.5,1197.7014264036625
72.0,1189.5,1201.3848652793465
73.0,1178.55,1203.9343262374484
74.0,1205.05,1192.248940106872
75.0,1190.35,1179.1633062470512
76.0,1203.0,1186.9177528056255
77.0,1216.05,1221.088430265155
78.0,1214.75,1220.3362433863704
79.0,1196.05,1209.9172473964645
80.0,1200.55,1217.5169391072047
81.0,1212.85,1227.0803386873852
82.0,1216.8,1207.4091477970105
83.0,1195.0,1206.8833116309204
84.0,1189.7,1178.9789195212165
85.0,1184.85,1163.1008265447554
86.0,1192.8,1175.4928070737853
87.0,1212.8,1207.14679364922
88.0,1203.65,1191.8870377878743
89.0,1221.95,1215.0974751971357
90.0,1215.2,1221.0725668236632
91.0,1226.75,1232.5125927763786
92.0,1231.0,1236.3206705509015
93.0,1242.1,1238.5485559915185
94.0,1236.8,1230.5960277282074
95.0,1228.3,1238.0927319905152
96.0,1222.25,1212.0305900816431
97.0,1230.75,1225.37146014274
98.0,1224.4,1230.2002586826068
99.0,1240.55,1246.0168329158325
100.0,1241.95,1239.1991275578605
101.0,1237.3,1245.3088585102157
102.0,1233.2,1228.9077013130477
103.0,1236.65,1243.832198354964
104.0,1247.9,1251.627493751411
105.0,1253.65,1252.0343092814956
106.0,1257.2,1258.0925569738733
107.0,1255.6,1257.0813847271074
108.0,1240.4,1235.5077830886285
109.0,1238.1,1245.6031314355384
110.0,1226.5,1218.6193487972316
111.0,1230.95,1223.274986412759
