Index,Real,Predicted
1.0,634.382,703.7502734252598
2.0,633.5410000000002,553.8167106108036
3.0,628.223,544.1478942086543
4.0,633.176,520.7161504738788
5.0,635.425,689.3050836432709
6.0,637.734,501.4467672384343
7.0,632.88,728.5771043103126
8.0,634.715,513.3960583886137
9.0,638.729,509.57185722915335
10.0,645.772,774.1625878487683
11.0,633.437,502.75450805966983
12.0,638.323,733.4547945264643
13.0,61.4219,83.92117589270632
14.0,60.8259,40.41770370107059
15.0,60.3977,55.67835584018239
16.0,59.6322,61.10423982732977
17.0,57.23440000000001,59.68596364637765
18.0,58.4808,55.371158617940196
19.0,58.1326,59.93727970966601
20.0,57.8231,59.06123052775631
21.0,58.6594,58.833946626542705
22.0,58.6498,58.16698437967634
23.0,58.2437,59.034603869838236
24.0,59.3903,57.562922378168295
25.0,58.8691,60.718812489101644
26.0,58.5264,55.92846832862865
27.0,58.4946,55.38822134884695
28.0,58.4898,55.76117925824215
29.0,58.5886,61.77099269855226
30.0,59.2945,61.68180383697387
31.0,59.3232,60.5684108915032
32.0,59.3399,62.228170406295234
33.0,59.637699999999995,61.16285073435478
34.0,59.3809,57.26113172377943
35.0,59.86169999999999,61.285581224391436
36.0,59.8065,57.12659864985412
37.0,59.2606,56.703348689881665
38.0,59.4017,62.17997846028008
39.0,59.4548,61.889394006134694
40.0,59.5115,56.8556734011047
41.0,60.7545,63.12583890974318
42.0,60.8117,62.46999754232335
43.0,66.0881,70.50556662098244
44.0,65.6933,62.498345442409786
45.0,64.8177,63.804900079791416
46.0,63.6117,62.46290231660227
47.0,61.9675,63.59324518714939
48.0,62.8922,60.349171722313486
49.0,63.7116,66.41571004387177
50.0,62.7139,64.01011839957295
51.0,62.608,64.03662679562068
52.0,62.868,64.16487810482565
53.0,61.931,60.41671868405066
54.0,60.6967,61.50338454961161
55.0,60.2299,62.44192026765822
56.0,60.16069999999999,57.554696733319446
57.0,59.312799999999996,61.78446597511302
58.0,58.8142,56.9680890818008
59.0,58.6547,56.82218779500175
60.0,59.8071,62.184340832120355
61.0,60.5943,62.734794289742545
62.0,60.9909,62.54138368239883
63.0,60.6497,62.52621774508024
64.0,61.267,59.722979244488165
65.0,61.7666,63.66268202687377
66.0,62.3881,64.51082120433652
67.0,62.5865,64.12193108567008
68.0,62.4966,64.10848257970189
69.0,62.7647,65.54036313851994
70.0,62.7844,60.963191389810206
71.0,62.7354,61.38497271063213
72.0,62.766099999999994,61.30068084209168
73.0,1060.58,926.2426937432936
74.0,1123.17,975.0916788575646
75.0,1191.85,972.3760270638609
76.0,1252.88,1541.6331528869362
77.0,1314.8,1659.2001721947058
78.0,1385.6,1244.58341343642
79.0,1399.25,1178.5258572810474
80.0,1326.68,1015.2455125329756
81.0,1362.72,1538.489853778865
82.0,1382.78,1255.6096962049864
83.0,1412.94,1064.7812122128046
84.0,1439.62,1247.372942227934
85.0,1470.7,1264.4003447187567
86.0,1498.44,1808.9069535410945
87.0,1527.5399999999997,1845.2036662229375
88.0,1571.24,1211.5635308321664
89.0,1638.09,1486.4131366292258
90.0,1709.87,1251.3497987711037
91.0,1789.4299999999998,1610.331033311461
92.0,1870.19,1631.4304609925846
93.0,1952.44,1549.9607625536062
94.0,2016.02,1509.2773234249703
95.0,2047.95,2577.3295256327833
96.0,2051.45,1844.427422333513
97.0,2056.5,2575.800318363125
98.0,2048.42,1502.4351760270513
99.0,2038.37,1734.0440639141036
100.0,2020.6,1528.3210733144715
101.0,1995.37,2356.933356117181
102.0,1966.29,1556.6070763675846
103.0,2086.48,2309.550226915006
104.0,2124.02,1684.049943643934
105.0,2155.52,2687.9806461636967
106.0,2214.6,2812.9214674755863
107.0,2290.56,1686.0612840705403
108.0,2433.01,3035.202902988823
109.0,2609.16,2199.42848517944
110.0,2593.02,3149.874978309803
111.0,2797.96,3484.6720071759923
112.0,2996.9299999999994,3640.161902999331
113.0,3154.61,3951.502751908956
114.0,3258.88,3794.6819057480943
115.0,3323.92,4079.7409189629116
116.0,3339.09,4035.633565386693
117.0,3323.11,2972.203205314009
118.0,3291.73,4160.147223787463
119.0,3259.15,4081.8188821257513
120.0,3242.89,3555.9917159999954
121.0,3251.4,3901.3880849885977
122.0,3267.47,3681.413756190264
123.0,3235.29,3831.1133107216697
124.0,3149.8,2439.7872617402977
125.0,3041.0899999999997,2449.5553649337226
126.0,2911.34,3413.2324936089967
127.0,2785.88,2476.2937086674588
128.0,2675.06,3359.417805475919
129.0,2586.19,3254.1062353680327
130.0,2539.34,1877.397371609626
131.0,2516.84,2944.321928143232
132.0,2518.73,2214.4334355588658
