Time,Value
1,156.365
2,6909.09
3,5762.49
4,17946.4
5,34219.9
6,351.833
7,8115.18
8,5856.49
9,22690.2
10,29120.3
11,173.867
12,8423.37
13,9508.03
14,19755.8
15,23312
16,296.299
17,10385
18,8852.41
19,20344.8
20,23695.2
21,54.0149
22,6724.8
23,10262.5
24,17463.8
25,21245.7
26,327.333
27,7622.94
28,9231.74
29,17714.5
30,14024
31,100.011
32,6813
33,8961.35
34,13416
35,15167.7
36,319.363
37,8477.03
38,8302.57
39,14466.2
40,12083
41,165.38
42,7604.38
43,10338.9
44,13596.4
45,11353.7
46,319.648
47,8967.93
48,9026.2
49,16018.7
50,12183.1
51,270.656
52,8106.91
53,9314.5
54,15227
55,10822.2
56,376.862
57,7927.72
58,7903.46
59,17766.7
60,11130.8
61,346.763
62,8729.36
63,9908.57
64,16387.6
65,10778.5
66,432.29
67,8672.08
68,8869.9
69,18098.3
70,11075.7
71,199.864
72,7517.5
73,10862.2
74,15234.2
75,11545.2
76,366.864
77,8786.33
78,9706.16
79,16210.6
80,11550.9
81,288.472
82,7965.67
83,9455.63
84,18067.1
85,11427.3
86,415.806
87,8271.01
88,8653.8
89,16640.4
90,12609.2
91,185.356
92,7868.14
93,9650.05
94,20595.1
95,16919.6
96,346.417
97,8634.24
98,8888.82
99,20323.5
100,14235.9
101,145.792
102,6771.05
103,8743.56
104,21997.6
105,34320.7
106,431.607
107,8156.55
108,9384.74
109,24736.1
110,29676
111,245.148
112,8527.18
113,9339.73
114,24757.2
115,29965.1
116,240.957
117,7674.91
118,9330.86
119,23495.3
120,32119.4
121,201.294
122,7081.45
123,5704.61
124,17766.1
125,34497
126,346.085
127,8127.01
128,6048.04
129,23432.3
130,32048
131,179.708
132,8469.55
133,9529.47
134,19800.3
135,21763
136,296.069
137,9319.52
138,8825.77
139,20283.6
140,23139.3
141,55.7164
142,6717.37
143,10044.3
144,17092.6
145,20074.7
146,328.74
147,7897.41
148,9053.09
149,17371.7
150,14338.5
151,86.7118
152,6867.91
153,9016.26
154,13498.2
155,12945.2
156,335.351
157,8246.93
158,8291.09
159,14446.2
160,11496.7
161,165.41
162,7441.67
163,10113.6
164,13300.1
165,11262
166,338.819
167,8339.33
168,9119.95
169,16185
170,12409.7
171,262.184
172,8138.25
173,9447.34
174,15444.2
175,10797.5
176,381.458
177,8419.04
178,7980.23
179,17939.3
180,11296.8
181,338.357
182,8463.86
183,10073.7
184,16660.6
185,10766.3
186,441.167
187,8606.49
188,9050.11
189,18466
190,11071.5
191,203.916
192,7327.58
193,10646.6
194,14931.9
195,11393.9
196,365.54
197,8239.06
198,9732.7
199,16254.9
200,11520.5
201,234.561
202,8011.71
203,9529.76
204,18208.7
205,11420.6
206,400.058
207,8370.95
208,8822.12
209,16964
210,12542.8
211,180.249
212,7802.7
213,9764.46
214,20839.3
215,17046.5
216,339.255
217,8467.38
218,8858.81
219,20254.9
220,14285.6
221,159.277
222,6363.91
223,8729.8
224,21963
225,31083.8
226,398.475
227,7788.62
228,9410.5
229,24804
230,28127.3
231,290.37
232,8279.73
233,9543.86
234,25298.3
235,28653.9
236,232.827
237,7960.03
238,9411.63
239,23698.7
240,31866.2
241,255.69
242,7085.7
243,5720.62
244,17816
245,33833
246,350.96
247,7931.86
248,6214.65
249,24077.8
250,31694.1
251,170.937
252,8502.94
253,9440.16
254,19614.8
255,19308.1
256,308.525
257,8505.42
258,8864.95
259,20373.6
260,22087.3
261,49.8645
262,7268.12
263,9936.28
264,16908.7
