Index,Real,Predicted
1.0,1556.83,1574.3598392577833
2.0,1573.7,1628.9306977692463
3.0,1642.7,1647.6638364846208
4.0,1753.12,1688.2290110790482
5.0,1811.16,1759.7387027924578
6.0,1783.4,1751.4619451838857
7.0,1672.55,1696.7717618825664
8.0,1585.62,1591.2058737755615
9.0,1491.31,1451.1284873952013
10.0,1345.35,1380.1414782627503
11.0,1180.96,1193.2236024187291
12.0,1069.14,1073.0244820579671
13.0,1045.65,1057.4665985258207
14.0,1084.65,1104.5101952821892
15.0,1142.49,1169.045469255726
16.0,1212.22,1247.7484642038373
17.0,1291.08,1302.5206578297557
18.0,1375.89,1353.6559455158656
19.0,1451.6,1476.959617676472
20.0,1492.51,1542.2926730176987
21.0,1498.6,1529.3520523865368
22.0,1520.7,1463.0681697211671
23.0,1573.54,1550.1285676281686
24.0,1641.32,1704.6807873345936
25.0,1627.34,1587.6697988414062
26.0,1585.2,1531.5184631631867
27.0,1572.13,1552.7021078916737
28.0,1567.91,1631.5273026609627
29.0,1495.7,1479.0231929093925
30.0,1359.43,1339.647324643234
31.0,1193.86,1200.603319190067
32.0,1097.13,1127.3655388432555
33.0,1064.98,1048.8579733766053
34.0,974.551,954.495811639502
35.0,895.03,904.7752996376686
36.0,881.7299999999999,871.4255624192102
37.0,921.977,899.7990854166701
38.0,972.1710000000002,989.8409684349483
39.0,1021.92,1013.0204776451619
40.0,1061.86,1072.5004381910128
41.0,1152.66,1173.4071076149644
42.0,1235.24,1251.9672005166842
43.0,1292.76,1265.134969290423
44.0,1316.32,1288.5259676426704
45.0,1305.69,1262.9499641171292
46.0,1259.58,1254.883105163216
47.0,1185.07,1183.3021123764415
48.0,1105.97,1097.8260044469007
49.0,1020.17,1041.328731953685
50.0,925.1309999999999,945.2118188366663
51.0,832.981,825.9041823373785
52.0,765.869,753.1861440964046
53.0,727.287,732.6182686735744
54.0,702.419,701.5073981937819
55.0,683.4,681.1992526826923
56.0,670.616,670.9975918106927
57.0,668.134,667.597797899011
58.0,664.885,670.3228726833828
59.0,675.465,676.5290855244338
60.0,715.402,720.8805271970267
61.0,797.635,789.7777921199041
62.0,873.167,885.6566911818554
63.0,905.3859999999999,918.3498800926121
64.0,927.9039999999999,915.094843480527
65.0,943.6339999999999,943.7803399863519
66.0,938.569,943.879829053839
67.0,897.982,890.3465182955604
68.0,814.605,815.1557507504895
69.0,744.31,738.2827329465102
70.0,718.911,728.4896311903544
71.0,706.087,708.6030804738983
72.0,702.91,704.7587628097409
73.0,704.26,706.4144134881112
74.0,713.098,721.1528366065811
75.0,714.293,717.873141437241
76.0,707.632,703.2798224717839
77.0,699.549,703.3988134595455
78.0,693.789,700.6589021858654
79.0,692.059,689.7790092066514
80.0,687.384,690.6578351529907
81.0,675.079,674.2122107829949
82.0,670.379,672.3600133524858
83.0,670.581,665.918527335449
84.0,674.54,671.9931800644428
85.0,686.055,685.688505950995
86.0,692.149,692.283598084111
87.0,690.539,692.4385380780631
88.0,693.75,695.9442419837088
89.0,696.363,695.5823251389995
90.0,698.242,695.1906359767639
91.0,695.196,699.568820453432
92.0,682.743,686.0362988069927
93.0,671.776,670.7957184187912
94.0,665.584,664.1830633728173
95.0,660.073,664.7105231307536
96.0,658.372,653.5854330686544
97.0,653.941,649.7667421391532
98.0,647.225,649.9402733279796
99.0,641.086,640.2685749047027
100.0,637.124,635.5992518161881
101.0,639.419,641.6307301130691
102.0,636.596,636.0282950958066
103.0,629.585,631.5298667856366
104.0,626.082,627.7655734926567
105.0,625.363,628.4815674845311
106.0,625.063,620.9335107251811
107.0,624.366,621.4094995351363
108.0,623.055,618.9217687625588
109.0,624.343,626.6922258045147
110.0,625.001,623.9973603907564
111.0,624.432,626.6067594516142
112.0,623.066,621.7035326330321
113.0,621.957,618.4462083484267
114.0,620.959,619.2289739951162
115.0,619.802,619.948321164017
116.0,618.511,615.41548752136
117.0,618.13,616.789996779778
118.0,618.339,614.5110446950177
119.0,619.111,620.6440818340509
120.0,618.554,620.6470691274578
121.0,617.145,615.1325451705408
122.0,615.898,617.9022644494116
123.0,615.438,611.404593938622
124.0,617.645,621.7274066314809
125.0,616.703,616.5414903136736
126.0,614.297,614.1613542162131
127.0,612.702,611.9689242911325
128.0,611.047,614.7117814284385
129.0,608.286,608.6765569568531
130.0,604.997,608.4667088750527
131.0,599.718,598.4721751213626
132.0,598.275,597.8342502607917
133.0,598.228,601.7316503723148
134.0,597.197,598.6278989749306
135.0,595.656,597.7398480240763
136.0,594.925,593.9422382535807
137.0,595.142,597.2613893325872
138.0,594.594,591.4489116623886
139.0,593.716,594.8220535446826
140.0,592.958,590.2257982489508
141.0,593.727,594.3087410672831
142.0,596.52,597.8412862766861
143.0,600.515,600.3671137667893
144.0,604.598,602.0026794437987
145.0,608.763,609.3337486619696
146.0,611.911,612.7330754545303
147.0,614.962,611.9004618052472
148.0,616.773,615.2443675899092
149.0,616.245,617.5106893279695
150.0,613.812,615.20420706863
151.0,610.907,609.7577458643584
152.0,608.601,607.1217134984239
153.0,606.685,609.5194817069457
154.0,604.571,603.7626298274628
155.0,604.518,606.7806317123418
156.0,609.223,613.3941130043987
157.0,617.381,614.9461987747634
158.0,627.263,624.1427754094005
159.0,631.604,631.150676251287
160.0,634.578,637.0775915572939
161.0,636.8,633.4580860450554
162.0,637.787,634.4323977797094
163.0,634.261,635.0508375965602
164.0,630.111,628.43405305708
165.0,626.548,623.7284037659581
166.0,628.544,631.9373936020849
167.0,628.92,625.5213491381218
168.0,632.156,629.9570575141812
169.0,635.26,638.3541554183225
170.0,638.911,642.4438967181889
171.0,643.086,640.1056467480478
172.0,645.567,642.9124446169734
173.0,646.523,645.929507000063
174.0,651.178,649.6957881698622
175.0,660.054,661.6039114533304
176.0,671.404,667.8649465874804
177.0,692.015,690.9848585281788
178.0,723.364,721.9314183551594
179.0,747.805,746.4200976220627
180.0,771.531,771.9290686713787
181.0,784.56,778.1391089250459
182.0,781.62,789.0077387043938
183.0,778.751,784.425889423467
184.0,787.782,792.0313198598055
185.0,789.132,779.5135572112384
186.0,786.529,776.1624316855444
187.0,772.286,762.3405902124241
188.0,755.064,745.6393499281953
189.0,748.236,753.6434583424412
190.0,743.078,733.8966058547453
191.0,715.128,712.8758186070331
192.0,682.487,683.0219318345123
193.0,660.946,665.986481487871
194.0,656.709,657.1091572074072
195.0,666.192,663.2578635183061
196.0,679.213,672.592752456577
197.0,697.395,692.6248956210799
198.0,721.258,725.2361783887309
199.0,737.927,734.4251006127613
200.0,760.169,766.2195152299839
201.0,794.786,792.7704741213194
202.0,863.55,855.4581483467749
203.0,939.094,931.2097013020385
204.0,997.0790000000001,1017.3368311676708
205.0,1011.9100000000001,996.8983306736063
206.0,1031.44,1040.0250658686732
207.0,1070.19,1072.2745808079
208.0,1122.3,1112.185967895227
209.0,1140.79,1143.5334383444044
210.0,1114.6,1104.7345489395677
211.0,1123.71,1146.7174246371917
212.0,1184.13,1147.1997910404557
213.0,1238.92,1234.8592813712282
214.0,1263.07,1238.7046807157358
215.0,1263.28,1291.4440500170572
216.0,1264.4,1288.3642247867206
217.0,1370.42,1337.4943737943001
218.0,1490.13,1467.08551385915
219.0,1631.82,1610.1698764162884
220.0,1790.5000000000002,1756.8651373379857
221.0,1950.49,1981.0347599985837
222.0,2089.2,2077.338176356088
223.0,2193.49,2176.996580060527
224.0,2185.4,2086.3738239054724
225.0,2117.74,2113.6264229937606
226.0,2004.05,1998.4317302534173
227.0,1895.72,1830.3050120415776
228.0,1802.18,1883.7958534158574
229.0,1802.74,1769.485425160393
230.0,1855.9800000000002,1893.1008384120578
231.0,1932.9100000000003,1918.0947991005946
232.0,2014.02,2047.2181771718379
233.0,2058.31,2165.1171743079885
234.0,2103.27,2137.3161735466256
235.0,2219.93,2257.2280323388786
236.0,2261.29,2313.9441490123318
237.0,2233.92,2134.6862012262527
238.0,2242.1,2127.231251667268
239.0,2334.05,2258.6251653104096
240.0,2434.67,2569.005844289261
241.0,2500.76,2586.448183071978
242.0,2531.4,2514.3523669455953
243.0,2571.78,2623.836038500296
244.0,2634.43,2615.1706957022416
245.0,2681.37,2615.5044190261165
246.0,2643.33,2768.3228256839234
247.0,2627.17,2492.977360037685
248.0,2554.36,2430.567432630053
249.0,2462.86,2507.106448906378
250.0,2406.61,2521.507936550677
251.0,2375.49,2387.6921891776556
252.0,2321.2,2306.298471427839
253.0,2414.4,2545.2166506291514
254.0,2523.06,2515.175303659841
255.0,2669.51,2597.062199695048
256.0,2723.2,2687.8568562017554
257.0,2684.52,2729.272875016688
258.0,2730.73,2872.7729836401586
259.0,2797.69,2620.431020751419
260.0,2691.25,2598.1485275326227
261.0,2549.48,2524.63334021253
262.0,2405.44,2380.3387939294007
263.0,2375.67,2329.3797736525703
264.0,2440.66,2520.469563837374
265.0,2496.32,2625.371680665973
266.0,2608.56,2534.128863309445
267.0,2740.52,2654.999583129418
268.0,2879.28,2817.4090794886233
269.0,3049.27,2931.1728407688497
270.0,3084.8,3035.9092857911364
271.0,3014.3,3115.101034104635
272.0,2902.4,3059.3961178087175
273.0,2765.44,2664.6288832425853
274.0,2657.72,2711.143668876893
275.0,2585.79,2526.4922017821546
276.0,2516.85,2641.3236755946514
277.0,2492.93,2372.387910962852
278.0,2585.85,2519.4797953513425
279.0,2562.32,2467.5868690924362
280.0,2366.85,2397.8859068326137
281.0,480.012,501.52831528050797
282.0,481.1070000000001,478.9697353665406
283.0,484.418,503.5788998767148
284.0,484.56299999999993,481.3097040622305
285.0,487.11,483.68844556703567
286.0,487.968,483.4413793777753
287.0,484.951,484.70823744297724
288.0,474.623,473.92397852216305
289.0,462.99399999999997,462.95892296207654
290.0,458.46099999999996,457.9922370852042
291.0,457.124,455.6283134686399
292.0,467.50300000000004,467.6303150992106
293.0,470.00499999999994,470.68481868902575
294.0,472.15900000000005,472.4436926611969
295.0,472.76500000000004,473.1665848905091
296.0,469.459,469.5685685510943
297.0,468.65100000000007,468.277549482291
298.0,470.57099999999997,470.0495659802318
299.0,469.324,469.21553715327775
300.0,469.12100000000004,468.74306823129933
301.0,468.527,469.3109229405251
302.0,470.831,471.1453898192596
303.0,474.46000000000004,474.58764349086795
304.0,475.992,476.68933854726237
305.0,474.31300000000005,474.60645702802435
306.0,475.184,474.95393011386585
307.0,476.63899999999995,476.452575987623
308.0,477.2509999999999,477.49963009617977
309.0,477.647,476.86846805207995
310.0,476.05799999999994,475.96374936676307
311.0,476.2049999999999,476.7118798555637
312.0,478.278,479.28875652711656
313.0,477.15100000000007,476.9305709662707
314.0,473.02399999999994,473.01980393065884
315.0,471.824,470.95525930834674
316.0,473.576,472.91550422535846
317.0,473.93,473.11264220243123
318.0,473.862,474.3229467574858
319.0,471.796,471.6261483563061
320.0,472.97499999999997,472.6140546988079
321.0,476.29,476.09001100610317
322.0,482.83899999999994,482.9689361431405
323.0,484.93300000000005,484.82277777451446
324.0,485.543,485.84750347838593
325.0,485.14799999999997,485.6086768300395
326.0,489.283,490.25835059559824
327.0,493.383,493.52357232682715
328.0,494.783,494.31838375146793
329.0,490.442,490.97215121054813
330.0,490.1840000000001,490.06449691555105
331.0,494.42099999999994,493.98444542751787
332.0,496.6499999999999,497.16879475853574
333.0,494.90400000000005,494.59420314289633
334.0,493.113,492.6434780125934
335.0,494.45900000000006,495.4744992703807
336.0,495.6700000000001,495.9290481063977
337.0,495.26,494.29053629627094
338.0,495.389,495.887047504187
339.0,495.811,494.8207932093231
340.0,498.14399999999995,497.4888437504683
341.0,499.28200000000004,500.1559850212069
342.0,500.17099999999994,499.58102486399156
343.0,502.776,503.98889846435605
344.0,509.46100000000007,507.8161832985947
345.0,511.2459999999999,510.30517438026595
346.0,513.015,512.6006930996141
347.0,514.944,515.2197873291018
348.0,516.855,517.2422480686904
349.0,518.457,519.4221624405662
350.0,522.242,522.33662319024
351.0,521.15,521.1796005848126
352.0,519.871,520.2300773736531
353.0,519.245,518.8893260876443
354.0,512.936,512.4944649443761
355.0,500.863,501.3344782495915
356.0,485.088,485.0319163828875
357.0,469.539,469.55358418863665
358.0,450.74799999999993,450.84601070674375
359.0,427.303,427.056355870094
