Index,Real,Predicted
1.0,1556.83,1514.2567428145408
2.0,1573.7,1610.0695393590704
3.0,1642.7,1616.9476164054138
4.0,1753.12,1753.2324341549702
5.0,1811.16,1821.8234863497798
6.0,1783.4,1790.4804552486846
7.0,1672.55,1655.6586840749742
8.0,1585.62,1568.8628615320206
9.0,1491.31,1562.271343848255
10.0,1345.35,1303.6268147160185
11.0,1180.96,1294.6543830110668
12.0,1069.14,1222.0950557891128
13.0,1045.65,1136.6811411482754
14.0,1084.65,1066.766141238405
15.0,1142.49,1140.2619969406485
16.0,1212.22,1212.8371991237316
17.0,1291.08,1315.4762039101072
18.0,1375.89,1336.5314682562614
19.0,1451.6,1513.896249558699
20.0,1492.51,1535.9756275835123
21.0,1498.6,1430.880092481086
22.0,1520.7,1573.5336174768372
23.0,1573.54,1550.8962399461955
24.0,1641.32,1609.1542081105542
25.0,1627.34,1661.62667748941
26.0,1585.2,1565.574652402418
27.0,1572.13,1601.1787014426218
28.0,1567.91,1518.7033857680128
29.0,1495.7,1529.2589680783867
30.0,1359.43,1428.6532707638848
31.0,1193.86,1296.717973305765
32.0,1097.13,974.4256432022494
33.0,1064.98,1252.5666379820368
34.0,974.551,872.4255907603934
35.0,895.03,932.2351106582006
36.0,881.7299999999999,877.7726928370594
37.0,921.977,904.435182626797
38.0,972.1710000000002,1024.1768613839256
39.0,1021.92,966.5598127304318
40.0,1061.86,1029.5550332190473
41.0,1152.66,1175.4117717684194
42.0,1235.24,1272.8577534368815
43.0,1292.76,1183.4116806758211
44.0,1316.32,1249.5670882707495
45.0,1305.69,1387.7814555395862
46.0,1259.58,1313.3365802251715
47.0,1185.07,1328.7982877665768
48.0,1105.97,1027.370861671552
49.0,1020.17,1139.6287342385288
50.0,925.1309999999999,795.2841415774409
51.0,832.981,892.290686876009
52.0,765.869,786.2272093771896
53.0,727.287,726.0730732991474
54.0,702.419,707.3710442403228
55.0,683.4,695.8073738016975
56.0,670.616,680.7011871429548
57.0,668.134,660.3630871790645
58.0,664.885,649.7824055136917
59.0,675.465,691.5544213981722
60.0,715.402,734.4530206434403
61.0,797.635,817.2477552188036
62.0,873.167,825.3029654656675
63.0,905.3859999999999,880.2930035737825
64.0,927.9039999999999,908.6960834794957
65.0,943.6339999999999,955.2444060257429
66.0,938.569,938.4727867558469
67.0,897.982,878.8976115345183
68.0,814.605,831.6342897525627
69.0,744.31,755.4118208952955
70.0,718.911,712.0976136682177
71.0,706.087,707.8825572554009
72.0,702.91,708.1076001667888
73.0,704.26,693.1596768991323
74.0,713.098,694.093110863775
75.0,714.293,736.0683341197866
76.0,707.632,689.0189667491766
77.0,699.549,714.3142520225852
78.0,693.789,705.731033336437
79.0,692.059,697.9399615026227
80.0,687.384,683.1274779365585
81.0,675.079,681.9904403946276
82.0,670.379,673.8334831913261
83.0,670.581,662.2237975035175
84.0,674.54,668.9219368354256
85.0,686.055,671.3386381734431
86.0,692.149,676.4832977492425
87.0,690.539,699.5212773731624
88.0,693.75,709.0993444218872
89.0,696.363,706.4235830289072
90.0,698.242,710.0933727094133
91.0,695.196,700.8390225627661
92.0,682.743,688.2997326241835
93.0,671.776,668.2853027201595
94.0,665.584,658.3743414050955
95.0,660.073,663.8355136284521
96.0,658.372,652.6382988064827
97.0,653.941,659.90526279249
98.0,647.225,651.7848203013558
99.0,641.086,647.2682657488135
100.0,637.124,628.9259667645914
101.0,639.419,630.2835659768368
102.0,636.596,642.5355456537702
103.0,629.585,626.6270709633718
104.0,626.082,622.0647921224576
105.0,625.363,621.4932934486453
106.0,625.063,629.6663507669317
107.0,624.366,619.1375753036393
108.0,623.055,630.0127282162499
109.0,624.343,627.8826611606963
110.0,625.001,617.9230774550385
111.0,624.432,619.7262312205926
112.0,623.066,618.3613857207099
113.0,621.957,625.9033726040583
114.0,620.959,628.7287331182655
115.0,619.802,628.273249580746
116.0,618.511,612.2704847583741
117.0,618.13,613.1250788359306
118.0,618.339,622.4133116027718
119.0,619.111,610.4917074356978
120.0,618.554,613.2396991696208
121.0,617.145,610.7601064134285
122.0,615.898,612.1456518402832
123.0,615.438,608.5903457813195
124.0,617.645,614.2301321414114
125.0,616.703,609.756894353559
126.0,614.297,609.234587011805
127.0,612.702,606.7819357315163
128.0,611.047,606.1875459174421
129.0,608.286,613.7425116510531
130.0,604.997,598.2605436648073
131.0,599.718,604.4963401327088
132.0,598.275,602.0563984954183
133.0,598.228,594.6210526822293
134.0,597.197,600.1233947564457
135.0,595.656,602.3643744280735
136.0,594.925,592.3843483598916
137.0,595.142,588.1278359138898
138.0,594.594,589.4257264491232
139.0,593.716,588.7697570724412
140.0,592.958,597.4911855240617
141.0,593.727,588.7655756451098
142.0,596.52,604.6078582409714
143.0,600.515,604.8852910507992
144.0,604.598,610.4891372622922
145.0,608.763,601.273586514437
146.0,611.911,602.9635498547592
147.0,614.962,620.327995442804
148.0,616.773,624.7850258911149
149.0,616.245,608.4943355918034
150.0,613.812,616.6674409804356
151.0,610.907,604.4334045875065
152.0,608.601,603.9412184432952
153.0,606.685,599.6667165269878
154.0,604.571,609.5379125943276
155.0,604.518,609.6455572048909
156.0,609.223,614.8644030620414
157.0,617.381,605.9542543173009
158.0,627.263,637.7179619180267
159.0,631.604,641.6793901936355
160.0,634.578,628.3415722794956
161.0,636.8,641.11723982337
162.0,637.787,627.0782060883311
163.0,634.261,629.3431565736546
164.0,630.111,624.9104969197915
165.0,626.548,620.6081874278028
166.0,628.544,624.9412661379531
167.0,628.92,620.9237346203656
168.0,632.156,628.4235153805772
169.0,635.26,623.7372721313914
170.0,638.911,633.6454964305192
171.0,643.086,632.5314434568975
172.0,645.567,637.6488598751357
173.0,646.523,638.8554227482393
174.0,651.178,640.2219475912162
175.0,660.054,646.0628643548409
176.0,671.404,684.3513918756607
177.0,692.015,711.4239976449635
178.0,723.364,734.7199098991188
179.0,747.805,730.9952691752703
180.0,771.531,754.2411905985998
181.0,784.56,799.9939458119982
182.0,781.62,788.7849404665976
183.0,778.751,787.5494871800353
184.0,787.782,772.3253614911168
185.0,789.132,806.7471734929628
186.0,786.529,776.5145735568008
187.0,772.286,759.4101931332874
188.0,755.064,762.5386210354377
189.0,748.236,755.9632047405464
190.0,743.078,738.3216591597162
191.0,715.128,717.8546079444525
192.0,682.487,680.4698851702447
193.0,660.946,662.0658250027464
194.0,656.709,653.6939971426273
195.0,666.192,652.9070675796053
196.0,679.213,698.0213428995118
197.0,697.395,683.4975693792245
198.0,721.258,738.869589595955
199.0,737.927,752.229235099901
200.0,760.169,739.563748448294
201.0,794.786,778.875826621944
202.0,863.55,840.4310898290513
