Index,Real,GRU,GWO-LSTM,LSTM,SAES
1.0,1556.83,1523.4839109737638,1574.3598392577833,1457.4523465374205,1514.2567428145408
2.0,1573.7,1530.6237835198451,1628.9306977692463,1736.873523171249,1610.0695393590704
3.0,1642.7,1653.7450567280605,1647.6638364846208,1802.3667198936275,1616.9476164054138
4.0,1753.12,1752.9159534292403,1688.2290110790482,1926.669657606342,1753.2324341549702
5.0,1811.16,1794.8274968470366,1759.7387027924578,1942.9160300034032,1821.82348634978
6.0,1783.4,1779.847157704821,1751.4619451838855,1934.2928850187225,1790.4804552486846
7.0,1672.55,1650.2216511933548,1696.7717618825664,1891.9890123976468,1655.6586840749742
8.0,1585.62,1548.8484080348185,1591.2058737755617,1483.3418148107698,1568.8628615320206
9.0,1491.31,1516.5985457318204,1451.128487395201,1651.5001011945772,1562.271343848255
10.0,1345.35,1275.6423544388854,1380.1414782627503,1259.494581948045,1303.6268147160183
11.0,1180.96,1263.9266846389107,1193.2236024187291,1236.7529679419529,1294.6543830110668
12.0,1069.14,1007.7304806248284,1073.0244820579671,964.6232660839106,1222.0950557891128
13.0,1045.65,1116.6013717250858,1057.4665985258207,1002.9321467181328,1136.6811411482754
14.0,1084.65,1070.3989799882338,1104.5101952821892,1034.891115375019,1066.766141238405
15.0,1142.49,1157.3871185999546,1169.045469255726,1055.8238138042418,1140.2619969406485
16.0,1212.22,1250.5798137865656,1247.748464203837,1120.278182856669,1212.8371991237316
17.0,1291.08,1288.2421239039677,1302.5206578297557,1362.8381645220752,1315.4762039101072
18.0,1375.89,1450.2288802796593,1353.6559455158656,1274.450002708109,1336.5314682562614
19.0,1451.6,1446.05516168039,1476.959617676472,1539.842838634817,1513.896249558699
20.0,1492.51,1480.0778506185738,1542.2926730176987,1384.3579597624591,1535.9756275835125
21.0,1498.6,1491.7878841881984,1529.3520523865368,1357.677645149409,1430.880092481086
22.0,1520.7,1516.536325473652,1463.0681697211671,1628.2739134160488,1573.5336174768372
23.0,1573.54,1587.6526298204649,1550.1285676281686,1471.1615279833654,1550.8962399461957
24.0,1641.32,1618.2857657423406,1704.6807873345936,1784.713872868231,1609.1542081105542
25.0,1627.34,1641.399744214104,1587.6697988414062,1476.951299474727,1661.62667748941
26.0,1585.2,1591.513220565235,1531.5184631631869,1672.5325116598904,1565.574652402418
27.0,1572.13,1567.7942888038615,1552.7021078916737,1733.3727375371004,1601.1787014426218
28.0,1567.91,1559.9134475414985,1631.5273026609627,1438.9853783673832,1518.7033857680128
29.0,1495.7,1502.95439803335,1479.0231929093925,1591.4834782867529,1529.2589680783867
30.0,1359.43,1348.813019680107,1339.647324643234,1444.8245689233215,1428.6532707638848
31.0,1193.86,1213.481195420158,1200.603319190067,1265.2281167462631,1296.717973305765
32.0,1097.13,1103.612024981097,1127.3655388432555,1030.858606024355,974.4256432022494
33.0,1064.98,1015.084959252287,1048.8579733766053,1121.5989243040592,1252.5666379820368
34.0,974.551,1025.246021326635,954.495811639502,1025.8263108141962,872.4255907603934
35.0,895.03,827.4541271603762,904.7752996376686,936.2288237280763,932.2351106582006
36.0,881.7299999999999,770.5239241581332,871.4255624192102,928.6790527936872,877.7726928370594
37.0,921.977,999.0228560595156,899.7990854166701,975.5718305200154,904.435182626797
38.0,972.1710000000002,970.0900410638094,989.8409684349484,928.7169596631396,1024.1768613839256
39.0,1021.92,985.1665341340206,1013.020477645162,986.5682459168352,966.5598127304318
40.0,1061.86,1113.8269055755636,1072.5004381910128,1005.8103820790104,1029.5550332190471
41.0,1152.66,1121.328171613057,1173.4071076149644,1234.8519740364388,1175.4117717684194
42.0,1235.24,1236.1189139569492,1251.9672005166842,1289.541410304996,1272.8577534368817
43.0,1292.76,1278.9297870327762,1265.134969290423,1347.0134609876472,1183.4116806758211
44.0,1316.32,1309.8935970625253,1288.5259676426704,1416.2947723918214,1249.5670882707495
45.0,1305.69,1307.3633962392523,1262.9499641171292,1420.4858971179603,1387.7814555395862
46.0,1259.58,1247.4008243835558,1254.883105163216,1181.798984231158,1313.3365802251717
47.0,1185.07,1174.9425565068125,1183.3021123764415,1107.1618464626697,1328.7982877665768
48.0,1105.97,1120.2754671559278,1097.8260044469007,1013.1857532031048,1027.370861671552
49.0,1020.17,1023.3638515797088,1041.328731953685,1095.1491623134652,1139.6287342385288
50.0,925.1309999999999,931.760561618034,945.2118188366665,959.1107882009376,795.2841415774409
51.0,832.981,849.4667072725507,825.9041823373785,874.601417518727,892.290686876009
52.0,765.869,769.6459762229503,753.1861440964046,784.7075751798725,786.2272093771896
53.0,727.287,731.8975076729948,732.6182686735744,709.171994928748,726.0730732991474
54.0,702.419,685.3347628032633,701.5073981937819,687.2076410947986,707.3710442403228
55.0,683.4,711.5605126313077,681.1992526826923,692.6614904398863,695.8073738016975
56.0,670.616,686.9279890668976,670.9975918106927,661.7710441656393,680.7011871429548
57.0,668.134,690.1759720402819,667.597797899011,653.2231922211689,660.3630871790645
58.0,664.885,661.8032232322965,670.3228726833828,673.9256484541615,649.7824055136917
59.0,675.465,665.9156090503319,676.5290855244338,663.5797046911009,691.5544213981722
60.0,715.402,698.3549679433002,720.8805271970267,696.6730310138246,734.4530206434403
61.0,797.635,777.328091750699,789.7777921199041,819.1033062649286,817.2477552188036
62.0,873.167,886.1547497220822,885.6566911818554,852.3599332355385,825.3029654656675
63.0,905.3859999999999,906.6352753221288,918.349880092612,896.4911032173708,880.2930035737825
64.0,927.9039999999999,925.554466632514,915.094843480527,893.7872011497849,908.6960834794957
65.0,943.6339999999999,943.9887553054352,943.780339986352,961.2622155465984,955.2444060257428
66.0,938.569,938.9812811093054,943.879829053839,903.9416981067616,938.4727867558468
67.0,897.982,894.5746856013496,890.3465182955604,918.3938647336544,878.8976115345183
68.0,814.605,812.5242473347358,815.1557507504895,804.8209435169049,831.6342897525627
69.0,744.31,744.2882454548379,738.2827329465102,729.5265017613162,755.4118208952955
70.0,718.911,706.6419218031348,728.4896311903544,747.7309711124102,712.0976136682177
71.0,706.087,725.2533052363625,708.6030804738983,715.1443581609453,707.8825572554009
72.0,702.91,693.3849091739587,704.7587628097409,683.7711381676442,708.1076001667888
73.0,704.26,708.3056467956497,706.4144134881112,692.40104716315,693.1596768991323
74.0,713.098,714.150715149206,721.1528366065811,702.9071914404152,694.093110863775
75.0,714.293,714.8527600905547,717.873141437241,706.3190253590561,736.0683341197866
76.0,707.632,701.8586891031747,703.2798224717839,718.6959404800419,689.0189667491766
77.0,699.549,714.4829635849692,703.3988134595455,710.9193646273906,714.3142520225852
78.0,693.789,675.4736486495917,700.6589021858654,684.9835715750035,705.731033336437
79.0,692.059,676.9038772993445,689.7790092066514,679.7802196029023,697.9399615026227
80.0,687.384,699.0122726734602,690.6578351529907,682.3354948097376,683.1274779365585
81.0,675.079,668.8679804494053,674.2122107829949,684.3583919094376,681.9904403946276
82.0,670.379,675.5184861191229,672.3600133524858,659.7837011297403,673.8334831913261
83.0,670.581,667.2140676749755,665.918527335449,677.0400648779537,662.2237975035175
84.0,674.54,680.7461680596003,671.9931800644428,685.2154731567066,668.9219368354256
85.0,686.055,696.2866849605255,685.688505950995,696.1217819123788,671.3386381734431
86.0,692.149,687.6620004810461,692.283598084111,698.4255715323336,676.4832977492425
87.0,690.539,687.3971071341635,692.4385380780631,683.1627979520641,699.5212773731624
88.0,693.75,687.4698632485931,695.9442419837088,706.335534661455,709.0993444218872
89.0,696.363,700.5476197579455,695.5823251389995,690.227070517594,706.4235830289072
90.0,698.242,693.4848153254161,695.1906359767639,689.8169465259546,710.0933727094133
91.0,695.196,689.0457537278053,699.568820453432,701.4139045046239,700.8390225627661
92.0,682.743,685.5468306340724,686.0362988069927,675.8029684072918,688.2997326241835
93.0,671.776,669.1152592831822,670.7957184187912,676.3002936618049,668.2853027201595
94.0,665.584,670.7157387356625,664.1830633728173,670.8926656224289,658.3743414050955
95.0,660.073,666.1191770774644,664.7105231307536,668.4370840282764,663.8355136284521
96.0,658.372,651.2109878511102,653.5854330686544,664.1783476193139,652.6382988064827
97.0,653.941,655.9053028581419,649.7667421391532,645.088693930634,659.90526279249
98.0,647.225,650.8539171157726,649.9402733279796,642.3333234499713,651.7848203013558
99.0,641.086,644.4106345581314,640.2685749047027,644.6230024206195,647.2682657488135
100.0,637.124,643.2022785065025,635.5992518161881,642.3061772516945,628.9259667645914
101.0,639.419,647.9681992307083,641.6307301130691,631.2308576111574,630.2835659768368
102.0,636.596,641.9774465539156,636.0282950958066,639.8876290466654,642.5355456537702
103.0,629.585,627.5874629924766,631.5298667856366,624.8914614168074,626.6270709633718
104.0,626.082,630.1775647208057,627.7655734926567,630.918377474166,622.0647921224576
105.0,625.363,622.6014534779613,628.4815674845311,632.0990034853039,621.4932934486453
106.0,625.063,621.9988964608243,620.9335107251811,631.2208430316426,629.6663507669317
107.0,624.366,622.1779496869299,621.4094995351363,627.8867272794853,619.1375753036393
108.0,623.055,620.8154480733806,618.9217687625588,627.2746351868938,630.0127282162499
109.0,624.343,621.7927893174527,626.6922258045147,628.1332939149044,627.8826611606963
110.0,625.001,628.1479646135617,623.9973603907564,619.1158085067726,617.9230774550385
111.0,624.432,620.5592769877404,626.6067594516142,619.959534951717,619.7262312205926
112.0,623.066,621.3220872312048,621.7035326330321,618.3721842717184,618.3613857207099
113.0,621.957,624.1990259768753,618.4462083484267,619.2031845149152,625.9033726040583
114.0,620.959,619.3345754228142,619.2289739951162,623.5148307151732,628.7287331182655
115.0,619.802,616.9576983663504,619.948321164017,625.7149006358338,628.273249580746
116.0,618.511,615.149283693363,615.41548752136,622.9067698817108,612.2704847583741
117.0,618.13,615.7063382882815,616.789996779778,613.6894121526979,613.1250788359306
118.0,618.339,615.0077969070376,614.5110446950177,621.740120518659,622.4133116027718
119.0,619.111,620.9255684790066,620.6440818340509,614.1405029589579,610.4917074356978
120.0,618.554,617.3287759096024,620.6470691274578,621.8353823568863,613.2396991696208
121.0,617.145,614.2496678695014,615.1325451705408,620.5038269749376,610.7601064134285
122.0,615.898,614.5391387307886,617.9022644494116,621.4300479301105,612.1456518402832
123.0,615.438,612.0917641256463,611.404593938622,621.2449879283904,608.5903457813195
124.0,617.645,619.9629144802852,621.7274066314809,611.9021617754096,614.2301321414114
125.0,616.703,619.1957338223739,616.5414903136736,613.1809593620651,609.756894353559
126.0,614.297,615.8214476269895,614.1613542162131,616.3710902074297,609.234587011805
127.0,612.702,611.5938806241143,611.9689242911325,608.1462745760256,606.7819357315163
128.0,611.047,612.9153390894767,614.7117814284385,608.775506590804,606.1875459174421
129.0,608.286,610.0193601802725,608.6765569568531,603.2978026049767,613.7425116510531
130.0,604.997,606.9969570859594,608.4667088750527,609.3410901734508,598.2605436648073
131.0,599.718,602.0870952462448,598.4721751213626,597.9672590046979,604.4963401327088
132.0,598.275,600.0248995106499,597.8342502607917,594.1006789116774,602.0563984954183
