Index,Real,Predicted
1.0,1322.5,1331.2314738818163
2.0,1318.1,1319.100393546719
3.0,1322.5,1319.4716092636986
4.0,1313.3,1310.9230971534425
5.0,1283.3,1279.441166796029
6.0,1269.4,1271.3649492625966
7.0,1254.5,1251.300567405599
8.0,1258.75,1257.4637343638185
9.0,1259.5,1262.1538602482779
10.0,1253.45,1247.706852307821
11.0,1256.5,1258.6070224974465
12.0,1261.05,1258.3630326754778
13.0,1251.75,1255.6827741212628
14.0,1254.8,1249.5939045056493
15.0,1258.2,1259.507204023446
16.0,1269.05,1268.3148199426123
17.0,1271.65,1273.559285785463
18.0,1266.05,1273.7650106049286
19.0,1265.55,1274.0866857455694
20.0,1269.4,1272.1733929195598
21.0,1270.5,1262.576207701263
22.0,1266.2500000000002,1262.4493050990066
23.0,1273.0,1273.3345224022507
24.0,1272.0,1272.5535407534035
25.0,1288.45,1284.545206299743
26.0,1303.7500000000002,1291.4785092503687
27.0,1301.0,1297.567967885501
28.0,1302.8,1292.0932797344244
29.0,1283.05,1279.5684406859248
30.0,1282.35,1273.287136135175
31.0,1281.3999999999999,1281.6618041031525
32.0,1267.5,1270.7206737338136
33.0,1236.45,1235.6816425342724
34.0,1213.6,1215.1789704827688
35.0,1226.95,1228.1951085448245
36.0,1229.2,1229.5451409008422
37.0,1226.75,1223.4194403067213
38.0,1211.0,1212.904176386595
39.0,1214.25,1215.7147695738793
40.0,1212.25,1215.3017940601012
41.0,1185.35,1185.841206158621
42.0,1186.1,1185.0600679556176
43.0,1187.7,1186.541625938809
44.0,1187.0,1186.8822518167956
45.0,1186.55,1185.7312899924623
46.0,1178.1,1177.6774590991165
47.0,1161.85,1161.998091182588
48.0,1173.5,1173.2773036161282
49.0,1162.2,1161.9089880283736
50.0,1172.5,1172.611731694743
51.0,1177.65,1176.7156001257467
52.0,1171.05,1171.5872679704771
53.0,1163.6,1163.6248856491618
54.0,1156.1,1155.6857435587747
55.0,1158.55,1158.4230638565907
56.0,1162.25,1162.2617935381293
57.0,1126.95,1123.8434459922178
58.0,1131.6,1129.4508907032202
59.0,1136.25,1136.8550923226387
60.0,1125.7,1123.0870731528096
61.0,1133.65,1134.104178663492
