Index,Real,GRU,GWO-LSTM,LSTM,SAES
1.0,1881.05,1249.2819308526678,1250.717055553642,1318.0583728167903,1530.897101236326
2.0,1407.6,1387.7766495351375,1243.9597065143228,1675.1749323944205,1206.121030587874
3.0,1680.65,1778.4970284944832,1284.0518052040838,1434.2938950006885,1675.1888151622
4.0,1786.0,1603.2954591734808,1332.8890992868096,1163.726241874612,1218.4898937413054
5.0,1283.85,1651.967647500464,1261.563689849697,1578.2180282791717,1555.5518333339733
6.0,0.0,1616.1330106384,1264.752507363606,1278.8642012500009,1765.7046186633831
7.0,1604.2,1492.5857513043218,1540.8387974136797,1233.726335337596,1687.5124975124688
8.0,1285.3,1652.7549607956307,1264.9010033605896,1254.6324320387166,1674.214729739243
9.0,1335.5,1320.6385593512232,1571.281648704203,1298.388164132399,1217.1967805038964
10.0,1972.35,1253.9140777019527,1531.1732502979348,1671.617443645433,1685.3097707606514
11.0,1334.95,1232.8481849445593,1535.4461689055674,1237.581896208169,1248.9678399882569
12.0,1699.55,1783.0285086653707,1529.3791684978123,1422.475255462018,1260.2862997099069
13.0,1812.55,1432.8282312246747,1512.0053695614383,1212.2017474640309,1662.5986764635422
14.0,1537.15,1125.1533254057667,1235.6899097750097,1498.8294815427598,1219.4791251815857
15.0,1318.65,1710.303862471396,1252.4373619843125,1633.063315292245,1616.481862327682
16.0,1802.0,1428.7746486976548,1513.105313040086,1756.2913974526984,1696.0913948459142
17.0,1390.0999999999997,1304.0698209017544,634.4723003093881,1156.3172482259674,1673.8766673718271
18.0,1824.3,1385.8496802325733,1228.2351637290594,1325.3769719552256,1279.0362419908847
19.0,1412.3999999999999,1259.4251440795206,1297.8825846564405,1585.6131830612303,1697.929786448619
20.0,1900.1500000000003,1303.6580098780355,1593.7925556818657,1265.789967201221,1188.7640119603263
21.0,1821.8,1784.7508638507493,1273.526404890032,1288.8571805208485,1271.5781730710933
22.0,1823.75,1735.7733143759024,1292.963512377415,1740.8706192854402,1267.266362251405
